event_id,user_id,occurred_at,event_name,session_id
E0001,U001,2026-01-01T09:00:00Z,app_open,S001
E0002,U001,2026-01-05T07:00:00Z,order_paid,S002
E0003,U002,2026-01-15T18:30:00Z,app_open,S003
E0004,U003,2026-02-01T10:00:00Z,app_open,
E0005,U001,2026-02-05T08:00:00Z,order_paid,S004
E0005,U001,2026-02-05T08:00:00Z,order_paid,S004
E0006,U004,2026-02-10T12:00:00Z,trial_started,S005
E0007,U005,2026-02-20T09:15:00Z,app_open,S006
E0008,U002,2026-03-03T06:45:00Z,order_paid,S007
E0009,U006,2026-03-05T11:00:00Z,app_open,
E0010,U007,2026-03-07T14:00:00Z,order_paid,S008
E0011,U003,2026-03-12T16:30:00Z,app_open,S009
E0012,U008,2026-03-20T10:10:00Z,trial_started,S010
E0013,U001,2026-04-01T08:00:00Z,app_open,S011
E0014,U007,2026-04-05T07:30:00Z,order_paid,S012
E0015,U005,2026-04-07T12:15:00Z,app_open,
