order_id,user_id,ordered_at,status,currency,amount
O1001,U001,2026-01-05T10:00:00+03:00,paid,RUB,1200.00
O1002,U002,2026-01-15T19:00:00Z,refunded,RUB,800.00
O1003,U003,2026-02-01T15:00:00+05:00,paid,USD,75.00
O1004,U004,2026-02-10T07:00:00-05:00,pending,USD,
O1005,U001,2026-02-05T11:00:00+03:00,paid,RUB,1500.00
O1006,U005,2026-02-20T10:15:00+01:00,paid,EUR,25.00
O1007,U002,2026-03-03T12:45:00+06:00,paid,KZT,500.00
O1008,U006,,cancelled,EUR,
O1009,U007,2026-03-07T15:00:00+01:00,paid,EUR,900.00
O1010,U999,2026-03-10T18:30:00Z,paid,USD,60.00
O1011,U003,2026-04-01T08:00:00Z,paid,USD,45.00
O1012,U007,2026-04-05T09:30:00+01:00,paid,EUR,700.00
