user_id,registered_at,cohort_week,platform,app_version,country,acquisition_channel,plan,observed_days,onboarding_seconds,sessions_7d,activated_7d,first_order_amount_rub,support_tickets_7d
J001,2026-01-05T09:00:00+03:00,2026-01-05,web,,RU,organic,basic,7,90,5,true,1200.00,0
J002,2026-01-05T11:00:00+03:00,2026-01-05,ios,5.1,KZ,search,premium,7,110,4,true,2400.00,0
J003,2026-01-06T10:00:00+03:00,2026-01-05,android,2.3,RU,organic,basic,7,130,5,true,900.00,0
J004,2026-01-07T12:00:00+03:00,2026-01-05,android,2.3,AM,paid_social,trial,7,200,2,false,,1
J005,2026-01-12T09:30:00+03:00,2026-01-12,web,,RU,organic,basic,7,80,6,true,1500.00,0
J006,2026-01-12T13:00:00+03:00,2026-01-12,ios,5.1,RU,search,premium,7,100,5,true,3200.00,0
J007,2026-01-13T15:00:00+03:00,2026-01-12,android,2.3,KZ,partner,basic,7,160,3,true,800.00,1
J008,2026-01-14T18:00:00+03:00,2026-01-12,web,,RU,paid_social,trial,7,240,1,false,,1
J009,2026-01-19T10:00:00+03:00,2026-01-19,ios,5.1,DE,organic,premium,7,70,7,true,50000.00,0
J010,2026-01-20T09:00:00+03:00,2026-01-19,android,2.3,RU,search,basic,7,145,4,true,1000.00,0
J011,2026-01-21T14:00:00+03:00,2026-01-19,web,,KZ,partner,basic,7,-1,3,false,,1
J012,2026-01-22T16:00:00+03:00,2026-01-19,ios,5.1,RU,paid_social,trial,7,300,2,false,,2
J013,2026-03-02T09:00:00+03:00,2026-03-02,android,2.4,RU,paid_social,basic,7,260,2,false,,2
J014,2026-03-02T12:00:00+03:00,2026-03-02,android,2.4,KZ,organic,premium,7,210,3,false,,1
J015,2026-03-03T10:00:00+03:00,2026-03-02,ios,5.2,,paid_social,trial,7,190,2,false,,1
J016,2026-03-04T17:00:00+03:00,2026-03-02,web,,RU,paid_social,basic,7,150,3,true,1100.00,0
J017,2026-03-09T11:00:00+03:00,2026-03-09,android,2.4,RU,paid_social,trial,7,420,1,false,,2
J018,2026-03-09T14:00:00+03:00,2026-03-09,ios,5.2,RU,organic,premium,7,85,6,true,2800.00,0
J019,2026-03-10T09:00:00+03:00,2026-03-09,web,,AM,search,basic,7,95,5,true,1300.00,0
J020,2026-03-11T19:00:00+03:00,2026-03-09,android,2.4,KZ,partner,basic,7,3600,2,false,,3
J021,2026-03-16T10:00:00+03:00,2026-03-16,android,2.4,RU,paid_social,basic,7,280,2,false,,1
J022,2026-03-16T15:00:00+03:00,2026-03-16,ios,5.2,RU,paid_social,basic,7,170,3,true,900.00,0
J023,2026-04-01T10:00:00+03:00,2026-03-30,web,,RU,paid_social,trial,5,100,,,,
J024,2026-04-04T18:00:00+03:00,2026-03-30,android,2.4,KZ,organic,basic,2,200,,,,
J018,2026-03-09T14:00:00+03:00,2026-03-09,ios,5.2,RU,organic,premium,7,85,6,true,2800.00,0
