order_id,user_id,ordered_at,status,currency,amount_rub
O001,U001,2026-06-08T09:10:00+03:00,paid,RUB,1200.00
O002,U001,2026-06-08T10:20:00+03:00,paid,RUB,800.00
O003,U002,2026-06-08T11:30:00+03:00,refunded,RUB,2400.00
O004,U003,2026-06-08T12:40:00+03:00,cancelled,RUB,500.00
O005,U004,2026-06-09T09:15:00+03:00,paid,RUB,1500.00
O006,U005,2026-06-09T10:25:00+03:00,paid,RUB,3200.00
O007,U006,2026-06-09T11:35:00+03:00,pending,RUB,900.00
O008,U002,2026-06-09T12:45:00+03:00,paid,RUB,750.50
O009,U003,2026-06-10T09:50:00+03:00,paid,RUB,1100.00
O010,U004,2026-06-10T10:55:00+03:00,paid,RUB,600.00
