activity_date,window_days,is_complete_window,eligible_users,active_users,activity_rate,active_event_count
2026-06-01,1,true,2,2,1.000000,6
2026-06-01,7,false,2,2,1.000000,6
2026-06-02,1,true,3,1,0.333333,1
2026-06-02,7,false,3,3,1.000000,7
2026-06-03,1,true,4,0,0.000000,0
2026-06-03,7,false,4,3,0.750000,7
2026-06-04,1,true,5,1,0.200000,2
2026-06-04,7,false,5,4,0.800000,9
2026-06-05,1,true,6,1,0.166667,3
2026-06-05,7,false,6,5,0.833333,12
2026-06-06,1,true,6,0,0.000000,0
2026-06-06,7,false,6,5,0.833333,12
2026-06-07,1,true,6,0,0.000000,0
2026-06-07,7,true,6,5,0.833333,12
2026-06-08,1,true,7,1,0.142857,3
2026-06-08,7,true,7,4,0.571429,9
2026-06-09,1,true,7,0,0.000000,0
2026-06-09,7,true,7,3,0.428571,8
