metric_id,row_type,dimension,segment_value,period,period_start,period_end,eligible_users,activated_users,activation_rate,traffic_share,is_reportable,is_exploratory,baseline_rate,comparison_rate,baseline_share,comparison_share,within_segment_effect,composition_effect,total_delta_contribution,overall_baseline_rate,overall_comparison_rate,overall_delta
activation_rate_d0_by_segment,overall,__overall__,__all__,baseline,2026-06-01,2026-06-03,4,2,0.500000,1.000000,true,false,,,,,,,,,,
activation_rate_d0_by_segment,overall,__overall__,__all__,comparison,2026-06-04,2026-06-08,3,1,0.333333,1.000000,true,false,,,,,,,,,,
activation_rate_d0_by_segment,segment_metric,platform,android,baseline,2026-06-01,2026-06-03,2,1,0.500000,0.500000,true,false,,,,,,,,,,
activation_rate_d0_by_segment,segment_metric,platform,ios,baseline,2026-06-01,2026-06-03,1,0,0.000000,0.250000,true,false,,,,,,,,,,
activation_rate_d0_by_segment,segment_metric,platform,web,baseline,2026-06-01,2026-06-03,1,1,1.000000,0.250000,true,false,,,,,,,,,,
activation_rate_d0_by_segment,segment_metric,platform,android,comparison,2026-06-04,2026-06-08,1,0,0.000000,0.333333,true,false,,,,,,,,,,
activation_rate_d0_by_segment,segment_metric,platform,ios,comparison,2026-06-04,2026-06-08,1,0,0.000000,0.333333,true,false,,,,,,,,,,
activation_rate_d0_by_segment,segment_metric,platform,web,comparison,2026-06-04,2026-06-08,1,1,1.000000,0.333333,true,false,,,,,,,,,,
activation_rate_d0_by_segment,segment_metric,acquisition_channel,organic,baseline,2026-06-01,2026-06-03,2,1,0.500000,0.500000,true,false,,,,,,,,,,
activation_rate_d0_by_segment,segment_metric,acquisition_channel,paid_search,baseline,2026-06-01,2026-06-03,1,0,0.000000,0.250000,true,false,,,,,,,,,,
activation_rate_d0_by_segment,segment_metric,acquisition_channel,referral,baseline,2026-06-01,2026-06-03,1,1,1.000000,0.250000,true,false,,,,,,,,,,
activation_rate_d0_by_segment,segment_metric,acquisition_channel,organic,comparison,2026-06-04,2026-06-08,1,1,1.000000,0.333333,true,false,,,,,,,,,,
activation_rate_d0_by_segment,segment_metric,acquisition_channel,paid_search,comparison,2026-06-04,2026-06-08,1,0,0.000000,0.333333,true,false,,,,,,,,,,
activation_rate_d0_by_segment,segment_metric,acquisition_channel,paid_social,comparison,2026-06-04,2026-06-08,1,0,0.000000,0.333333,true,false,,,,,,,,,,
activation_rate_d0_by_segment,segment_metric,country,AM,baseline,2026-06-01,2026-06-03,1,0,0.000000,0.250000,true,true,,,,,,,,,,
activation_rate_d0_by_segment,segment_metric,country,KZ,baseline,2026-06-01,2026-06-03,1,1,1.000000,0.250000,true,true,,,,,,,,,,
activation_rate_d0_by_segment,segment_metric,country,RU,baseline,2026-06-01,2026-06-03,2,1,0.500000,0.500000,true,true,,,,,,,,,,
activation_rate_d0_by_segment,segment_metric,country,DE,comparison,2026-06-04,2026-06-08,1,1,1.000000,0.333333,true,true,,,,,,,,,,
activation_rate_d0_by_segment,segment_metric,country,RU,comparison,2026-06-04,2026-06-08,2,0,0.000000,0.666667,true,true,,,,,,,,,,
activation_rate_d0_by_segment,decomposition,platform,android,,,,2->1,1->0,,,true,false,0.500000,0.000000,0.500000,0.333333,-0.166667,-0.083333,-0.250000,0.500000,0.333333,-0.166667
activation_rate_d0_by_segment,decomposition,platform,ios,,,,1->1,0->0,,,true,false,0.000000,0.000000,0.250000,0.333333,0.000000,0.000000,0.000000,0.500000,0.333333,-0.166667
activation_rate_d0_by_segment,decomposition,platform,web,,,,1->1,1->1,,,true,false,1.000000,1.000000,0.250000,0.333333,0.000000,0.083333,0.083333,0.500000,0.333333,-0.166667
