metric_id,resample_index,control_statistic,treatment_statistic,bootstrap_absolute_lift,valid
activation_rate_7d,0,0.666667,0.0,-0.666667,true
activation_rate_7d,1,0.666667,0.0,-0.666667,true
activation_rate_7d,2,1.0,0.0,-1.0,true
activation_rate_7d,3,1.0,0.0,-1.0,true
activation_rate_7d,4,0.333333,0.0,-0.333333,true
activation_rate_7d,5,1.0,0.0,-1.0,true
activation_rate_7d,6,0.333333,0.0,-0.333333,true
activation_rate_7d,7,0.0,0.0,0.0,true
activation_rate_7d,8,0.666667,0.0,-0.666667,true
activation_rate_7d,9,0.666667,0.0,-0.666667,true
activation_rate_7d,10,0.666667,0.0,-0.666667,true
activation_rate_7d,11,1.0,0.0,-1.0,true
activation_rate_7d,12,0.666667,0.0,-0.666667,true
activation_rate_7d,13,0.333333,0.0,-0.333333,true
activation_rate_7d,14,0.666667,0.0,-0.666667,true
activation_rate_7d,15,0.333333,0.0,-0.333333,true
activation_rate_7d,16,0.333333,0.0,-0.333333,true
activation_rate_7d,17,0.0,0.0,0.0,true
activation_rate_7d,18,0.666667,0.0,-0.666667,true
activation_rate_7d,19,0.666667,0.0,-0.666667,true
activation_rate_7d,20,0.666667,0.0,-0.666667,true
activation_rate_7d,21,1.0,0.0,-1.0,true
activation_rate_7d,22,0.333333,0.0,-0.333333,true
activation_rate_7d,23,0.666667,0.0,-0.666667,true
activation_rate_7d,24,1.0,0.0,-1.0,true
activation_rate_7d,25,0.666667,0.0,-0.666667,true
activation_rate_7d,26,0.666667,0.0,-0.666667,true
activation_rate_7d,27,1.0,0.0,-1.0,true
activation_rate_7d,28,1.0,0.0,-1.0,true
activation_rate_7d,29,0.333333,0.0,-0.333333,true
activation_rate_7d,30,0.666667,0.0,-0.666667,true
activation_rate_7d,31,1.0,0.0,-1.0,true
activation_rate_7d,32,1.0,0.0,-1.0,true
activation_rate_7d,33,0.666667,0.0,-0.666667,true
activation_rate_7d,34,1.0,0.0,-1.0,true
activation_rate_7d,35,1.0,0.0,-1.0,true
activation_rate_7d,36,0.666667,0.0,-0.666667,true
activation_rate_7d,37,0.666667,0.0,-0.666667,true
activation_rate_7d,38,0.333333,0.0,-0.333333,true
activation_rate_7d,39,0.666667,0.0,-0.666667,true
activation_rate_7d,40,0.666667,0.0,-0.666667,true
activation_rate_7d,41,1.0,0.0,-1.0,true
activation_rate_7d,42,0.333333,0.0,-0.333333,true
activation_rate_7d,43,0.666667,0.0,-0.666667,true
activation_rate_7d,44,1.0,0.0,-1.0,true
activation_rate_7d,45,0.666667,0.0,-0.666667,true
activation_rate_7d,46,1.0,0.0,-1.0,true
activation_rate_7d,47,1.0,0.0,-1.0,true
activation_rate_7d,48,0.333333,0.0,-0.333333,true
activation_rate_7d,49,0.666667,0.0,-0.666667,true
activation_rate_7d,50,0.666667,0.0,-0.666667,true
activation_rate_7d,51,1.0,0.0,-1.0,true
activation_rate_7d,52,0.333333,0.0,-0.333333,true
activation_rate_7d,53,0.666667,0.0,-0.666667,true
activation_rate_7d,54,0.666667,0.0,-0.666667,true
activation_rate_7d,55,0.666667,0.0,-0.666667,true
activation_rate_7d,56,0.333333,0.0,-0.333333,true
activation_rate_7d,57,0.333333,0.0,-0.333333,true
activation_rate_7d,58,0.333333,0.0,-0.333333,true
activation_rate_7d,59,0.666667,0.0,-0.666667,true
activation_rate_7d,60,0.666667,0.0,-0.666667,true
activation_rate_7d,61,0.666667,0.0,-0.666667,true
activation_rate_7d,62,0.666667,0.0,-0.666667,true
activation_rate_7d,63,0.666667,0.0,-0.666667,true
activation_rate_7d,64,1.0,0.0,-1.0,true
activation_rate_7d,65,0.666667,0.0,-0.666667,true
activation_rate_7d,66,1.0,0.0,-1.0,true
activation_rate_7d,67,1.0,0.0,-1.0,true
activation_rate_7d,68,0.333333,0.0,-0.333333,true
activation_rate_7d,69,0.333333,0.0,-0.333333,true
activation_rate_7d,70,1.0,0.0,-1.0,true
activation_rate_7d,71,0.666667,0.0,-0.666667,true
activation_rate_7d,72,0.333333,0.0,-0.333333,true
activation_rate_7d,73,0.666667,0.0,-0.666667,true
activation_rate_7d,74,1.0,0.0,-1.0,true
