dimension,segment_value,metric_id,role,segment_role,predeclared,control_units,treatment_units,control_denominator,treatment_denominator,control_value,treatment_value,absolute_lift,p_value,p_value_method,minimum_cell_size,meets_minimum_cell_size,has_both_variants,decision_eligible,decision_use,status,diagnostics
platform,android,activation_rate_7d,primary,predeclared,true,3,2,3.0,2.0,0.666667,0.0,-0.666667,0.136037,statsmodels.proportions_ztest_two_sided,500,false,true,false,diagnostic_supporting,below_minimum_cell_size,"[""cell_below_minimum_size"", ""multiple_testing_does_not_allow_launch"", ""peeking_audit_not_ready_for_decision"", ""segment_not_a_standalone_launch_gate""]"
platform,android,support_ticket_rate_7d,guardrail,predeclared,true,3,2,3.0,2.0,0.666667,0.0,-0.666667,0.136037,statsmodels.proportions_ztest_two_sided,500,false,true,false,diagnostic_supporting,below_minimum_cell_size,"[""cell_below_minimum_size"", ""multiple_testing_does_not_allow_launch"", ""peeking_audit_not_ready_for_decision"", ""segment_not_a_standalone_launch_gate""]"
acquisition_channel,organic,activation_rate_7d,primary,predeclared,true,2,0,2.0,0.0,1.0,nan,nan,nan,not_estimated,500,false,false,false,diagnostic_supporting,missing_variant,"[""missing_control_or_treatment_in_segment"", ""cell_below_minimum_size"", ""multiple_testing_does_not_allow_launch"", ""peeking_audit_not_ready_for_decision"", ""segment_not_a_standalone_launch_gate""]"
acquisition_channel,paid_search,activation_rate_7d,primary,predeclared,true,0,1,0.0,1.0,nan,0.0,nan,nan,not_estimated,500,false,false,false,diagnostic_supporting,missing_variant,"[""missing_control_or_treatment_in_segment"", ""cell_below_minimum_size"", ""multiple_testing_does_not_allow_launch"", ""peeking_audit_not_ready_for_decision"", ""segment_not_a_standalone_launch_gate""]"
acquisition_channel,paid_social,activation_rate_7d,primary,predeclared,true,0,1,0.0,1.0,nan,0.0,nan,nan,not_estimated,500,false,false,false,diagnostic_supporting,missing_variant,"[""missing_control_or_treatment_in_segment"", ""cell_below_minimum_size"", ""multiple_testing_does_not_allow_launch"", ""peeking_audit_not_ready_for_decision"", ""segment_not_a_standalone_launch_gate""]"
acquisition_channel,referral,activation_rate_7d,primary,predeclared,true,1,0,1.0,0.0,0.0,nan,nan,nan,not_estimated,500,false,false,false,diagnostic_supporting,missing_variant,"[""missing_control_or_treatment_in_segment"", ""cell_below_minimum_size"", ""multiple_testing_does_not_allow_launch"", ""peeking_audit_not_ready_for_decision"", ""segment_not_a_standalone_launch_gate""]"
acquisition_channel,organic,support_ticket_rate_7d,guardrail,predeclared,true,2,0,2.0,0.0,0.5,nan,nan,nan,not_estimated,500,false,false,false,diagnostic_supporting,missing_variant,"[""missing_control_or_treatment_in_segment"", ""cell_below_minimum_size"", ""multiple_testing_does_not_allow_launch"", ""peeking_audit_not_ready_for_decision"", ""segment_not_a_standalone_launch_gate""]"
acquisition_channel,paid_search,support_ticket_rate_7d,guardrail,predeclared,true,0,1,0.0,1.0,nan,0.0,nan,nan,not_estimated,500,false,false,false,diagnostic_supporting,missing_variant,"[""missing_control_or_treatment_in_segment"", ""cell_below_minimum_size"", ""multiple_testing_does_not_allow_launch"", ""peeking_audit_not_ready_for_decision"", ""segment_not_a_standalone_launch_gate""]"
acquisition_channel,paid_social,support_ticket_rate_7d,guardrail,predeclared,true,0,1,0.0,1.0,nan,0.0,nan,nan,not_estimated,500,false,false,false,diagnostic_supporting,missing_variant,"[""missing_control_or_treatment_in_segment"", ""cell_below_minimum_size"", ""multiple_testing_does_not_allow_launch"", ""peeking_audit_not_ready_for_decision"", ""segment_not_a_standalone_launch_gate""]"
acquisition_channel,referral,support_ticket_rate_7d,guardrail,predeclared,true,1,0,1.0,0.0,1.0,nan,nan,nan,not_estimated,500,false,false,false,diagnostic_supporting,missing_variant,"[""missing_control_or_treatment_in_segment"", ""cell_below_minimum_size"", ""multiple_testing_does_not_allow_launch"", ""peeking_audit_not_ready_for_decision"", ""segment_not_a_standalone_launch_gate""]"
country,AM,activation_rate_7d,primary,post_hoc,false,1,0,1.0,0.0,1.0,nan,nan,nan,not_estimated,500,false,false,false,exploratory_only,missing_variant,"[""missing_control_or_treatment_in_segment"", ""cell_below_minimum_size"", ""post_hoc_exploratory_only"", ""segment_dimension_not_predeclared"", ""multiple_testing_does_not_allow_launch"", ""peeking_audit_not_ready_for_decision"", ""segment_not_a_standalone_launch_gate""]"
country,KZ,activation_rate_7d,primary,post_hoc,false,1,0,1.0,0.0,0.0,nan,nan,nan,not_estimated,500,false,false,false,exploratory_only,missing_variant,"[""missing_control_or_treatment_in_segment"", ""cell_below_minimum_size"", ""post_hoc_exploratory_only"", ""segment_dimension_not_predeclared"", ""multiple_testing_does_not_allow_launch"", ""peeking_audit_not_ready_for_decision"", ""segment_not_a_standalone_launch_gate""]"
country,RU,activation_rate_7d,primary,post_hoc,false,1,2,1.0,2.0,1.0,0.0,-1.0,0.083265,statsmodels.proportions_ztest_two_sided,500,false,true,false,exploratory_only,below_minimum_cell_size,"[""cell_below_minimum_size"", ""post_hoc_exploratory_only"", ""segment_dimension_not_predeclared"", ""multiple_testing_does_not_allow_launch"", ""peeking_audit_not_ready_for_decision"", ""segment_not_a_standalone_launch_gate""]"
