event_id,user_id,event_name,occurred_at,received_at,platform,app_version
E001,U001,paywall_viewed,2026-06-10T09:10:00+03:00,2026-06-10T09:11:00+03:00,android,5.20.0
E002,U001,feature_value_seen,2026-06-11T09:30:00+03:00,2026-06-11T09:31:00+03:00,android,5.20.0
E003,U002,paywall_viewed,2026-06-10T10:20:00+03:00,2026-06-10T10:21:00+03:00,android,5.20.0
E004,U002,trial_started,2026-06-10T10:25:00+03:00,2026-06-10T10:26:00+03:00,android,5.20.0
E005,U003,paywall_viewed,2026-06-11T11:40:00+03:00,2026-06-11T11:41:00+03:00,android,5.20.0
E006,U004,paywall_viewed,2026-06-11T12:50:00+03:00,2026-06-11T12:51:00+03:00,android,5.20.0
E007,U004,feature_value_seen,2026-06-12T12:55:00+03:00,2026-06-12T12:56:00+03:00,android,5.20.0
E008,U005,paywall_viewed,2026-06-12T13:15:00+03:00,2026-06-12T13:16:00+03:00,android,5.20.0
E009,U005,trial_started,2026-06-13T13:20:00+03:00,2026-06-13T13:21:00+03:00,android,5.20.0
E010,U006,paywall_viewed,2026-06-12T14:10:00+03:00,2026-06-12T14:11:00+03:00,web,
E011,U999,paywall_viewed,2026-06-12T16:10:00+03:00,2026-06-12T16:11:00+03:00,android,5.20.0
