encouragement_id,user_id,encouraged,assigned_at,instrument_version
ENC001,U001,true,2026-07-01T09:50:00+03:00,capacity_lottery_v1
ENC002,U002,true,2026-07-01T10:10:00+03:00,capacity_lottery_v1
ENC003,U003,true,2026-07-02T10:50:00+03:00,capacity_lottery_v1
ENC004,U004,false,2026-07-02T11:20:00+03:00,capacity_lottery_v1
ENC005,U005,true,2026-07-03T11:50:00+03:00,capacity_lottery_v1
ENC006,U006,false,2026-07-03T12:20:00+03:00,capacity_lottery_v1
ENC007,U007,false,2026-07-04T12:50:00+03:00,capacity_lottery_v1
ENC008,U010,true,2026-07-05T14:20:00+03:00,capacity_lottery_v1
ENC009,U011,false,2026-07-06T14:50:00+03:00,capacity_lottery_v1
ENC010,U012,false,2026-07-06T15:20:00+03:00,capacity_lottery_v1
