user_id,activation_14d,paid_subscription_30d,cancelled_subscription_30d,refund_amount_30d,support_minutes_14d,onboarding_completed_48h,opened_support_chat_after_offer,telemetry_complete_30d,followup_end_at
U001,true,true,false,0.00,15,true,true,true,2026-07-31T10:00:00+03:00
U002,true,true,false,0.00,10,true,true,true,2026-07-31T10:20:00+03:00
U003,false,false,false,0.00,45,true,true,true,2026-08-01T11:00:00+03:00
U004,false,false,true,490.00,60,true,true,true,2026-08-01T11:30:00+03:00
U005,true,true,false,0.00,0,true,false,true,2026-08-02T12:00:00+03:00
U006,true,false,false,0.00,35,true,false,true,2026-08-02T12:30:00+03:00
U007,true,true,false,0.00,5,true,false,true,2026-08-03T13:00:00+03:00
U008,true,true,false,0.00,0,true,false,true,2026-08-03T13:30:00+03:00
U009,true,false,false,0.00,0,true,false,true,2026-08-04T14:00:00+03:00
U010,true,true,false,0.00,20,true,true,true,2026-08-04T14:30:00+03:00
U011,false,false,true,0.00,25,false,true,true,2026-08-05T15:00:00+03:00
U012,true,false,false,0.00,10,true,false,true,2026-08-05T15:30:00+03:00
U999,true,true,false,0.00,0,true,false,true,2026-08-05T16:00:00+03:00
