region_id,week_start,rollout_active,eligible_users,assisted_users,activation_rate_14d,paid_subscription_rate_30d,mean_friction_score
north,2026-06-15,false,50,0,0.460000,0.180000,65.00
north,2026-06-22,false,52,0,0.470000,0.185000,65.20
north,2026-06-29,false,54,0,0.480000,0.190000,65.40
north,2026-07-06,true,56,21,0.570000,0.235000,65.60
north,2026-07-13,true,58,22,0.580000,0.240000,65.80
north,2026-07-20,true,60,23,0.590000,0.245000,66.00
north,2026-07-27,true,62,24,0.600000,0.250000,66.20
north,2026-08-03,true,64,25,0.610000,0.255000,66.40
south,2026-06-15,false,50,0,0.440000,0.180000,62.00
south,2026-06-22,false,52,0,0.450000,0.185000,62.20
south,2026-06-29,false,54,0,0.460000,0.190000,62.40
south,2026-07-06,false,56,0,0.470000,0.195000,62.60
south,2026-07-13,false,58,0,0.480000,0.200000,62.80
south,2026-07-20,true,60,23,0.570000,0.245000,63.00
south,2026-07-27,true,62,24,0.580000,0.250000,63.20
south,2026-08-03,true,64,25,0.590000,0.255000,63.40
