metric_id,segment_id,observed_date,frequency,delta_active,value,source_event_count,is_complete_period,include_in_training
active_subscriptions,all,2026-03-02,D,18,998,1,true,true
active_subscriptions,all,2026-03-03,D,9,1007,1,true,true
active_subscriptions,all,2026-03-04,D,9,1016,1,true,true
active_subscriptions,all,2026-03-05,D,9,1025,1,true,true
active_subscriptions,all,2026-03-06,D,9,1034,1,true,true
active_subscriptions,all,2026-03-07,D,-31,1003,1,true,true
active_subscriptions,all,2026-03-08,D,9,1012,1,true,true
active_subscriptions,all,2026-03-09,D,61,1073,1,true,true
active_subscriptions,all,2026-03-10,D,9,1082,1,true,true
active_subscriptions,all,2026-03-11,D,9,1091,1,true,true
active_subscriptions,all,2026-03-12,D,9,1100,1,true,true
active_subscriptions,all,2026-03-13,D,9,1109,1,true,true
active_subscriptions,all,2026-03-14,D,-43,1066,1,true,true
active_subscriptions,all,2026-03-15,D,9,1075,1,true,true
active_subscriptions,all,2026-03-16,D,49,1124,1,true,true
active_subscriptions,all,2026-03-17,D,9,1133,1,false,false
active_subscriptions,android,2026-03-02,D,8,318,1,true,true
active_subscriptions,android,2026-03-03,D,4,322,1,true,true
active_subscriptions,android,2026-03-04,D,4,326,1,true,true
active_subscriptions,android,2026-03-05,D,4,330,1,true,true
active_subscriptions,android,2026-03-06,D,4,334,1,true,true
active_subscriptions,android,2026-03-07,D,-13,321,1,true,true
active_subscriptions,android,2026-03-08,D,4,325,1,true,true
active_subscriptions,android,2026-03-09,D,21,346,1,true,true
active_subscriptions,android,2026-03-10,D,4,350,1,true,true
active_subscriptions,android,2026-03-11,D,4,354,1,true,true
active_subscriptions,android,2026-03-12,D,4,358,1,true,true
active_subscriptions,android,2026-03-13,D,4,362,1,true,true
active_subscriptions,android,2026-03-14,D,-13,349,1,true,true
active_subscriptions,android,2026-03-15,D,4,353,1,true,true
active_subscriptions,android,2026-03-16,D,21,374,1,true,true
active_subscriptions,android,2026-03-17,D,4,378,1,false,false
