metric_id,segment_id,observed_date,frequency,value,delta_active,value_lag_1,delta_lag_1,rolling_3_mean_lag1,rolling_7_mean_lag1,expanding_mean_lag1,history_points_before,source_is_complete,feature_complete,include_in_training
active_subscriptions,all,2026-03-02,D,998,18,,,,,,0,true,false,false
active_subscriptions,all,2026-03-03,D,1007,9,998,18,,,,1,true,false,false
active_subscriptions,all,2026-03-04,D,1016,9,1007,9,,,,2,true,false,false
active_subscriptions,all,2026-03-05,D,1025,9,1016,9,1007,,1007,3,true,false,false
active_subscriptions,all,2026-03-06,D,1034,9,1025,9,1016,,1011.5,4,true,false,false
active_subscriptions,all,2026-03-07,D,1003,-31,1034,9,1025,,1016,5,true,false,false
active_subscriptions,all,2026-03-08,D,1012,9,1003,-31,1020.666667,,1013.833333,6,true,false,false
active_subscriptions,all,2026-03-09,D,1073,61,1012,9,1016.333333,1013.571429,1013.571429,7,true,true,true
active_subscriptions,all,2026-03-10,D,1082,9,1073,61,1029.333333,1024.285714,1021,8,true,true,true
active_subscriptions,all,2026-03-11,D,1091,9,1082,9,1055.666667,1035,1027.777778,9,true,true,true
active_subscriptions,all,2026-03-12,D,1100,9,1091,9,1082,1045.714286,1034.1,10,true,true,true
active_subscriptions,all,2026-03-13,D,1109,9,1100,9,1091,1056.428571,1040.090909,11,true,true,true
active_subscriptions,all,2026-03-14,D,1066,-43,1109,9,1100,1067.142857,1045.833333,12,true,true,true
active_subscriptions,all,2026-03-15,D,1075,9,1066,-43,1091.666667,1076.142857,1047.384615,13,true,true,true
active_subscriptions,all,2026-03-16,D,1124,49,1075,9,1083.333333,1085.142857,1049.357143,14,true,true,true
active_subscriptions,all,2026-03-17,D,1133,9,1124,49,1088.333333,1092.428571,1054.333333,15,false,true,false
active_subscriptions,android,2026-03-02,D,318,8,,,,,,0,true,false,false
active_subscriptions,android,2026-03-03,D,322,4,318,8,,,,1,true,false,false
active_subscriptions,android,2026-03-04,D,326,4,322,4,,,,2,true,false,false
active_subscriptions,android,2026-03-05,D,330,4,326,4,322,,322,3,true,false,false
active_subscriptions,android,2026-03-06,D,334,4,330,4,326,,324,4,true,false,false
active_subscriptions,android,2026-03-07,D,321,-13,334,4,330,,326,5,true,false,false
active_subscriptions,android,2026-03-08,D,325,4,321,-13,328.333333,,325.166667,6,true,false,false
active_subscriptions,android,2026-03-09,D,346,21,325,4,326.666667,325.142857,325.142857,7,true,true,true
active_subscriptions,android,2026-03-10,D,350,4,346,21,330.666667,329.142857,327.75,8,true,true,true
active_subscriptions,android,2026-03-11,D,354,4,350,4,340.333333,333.142857,330.222222,9,true,true,true
active_subscriptions,android,2026-03-12,D,358,4,354,4,350,337.142857,332.6,10,true,true,true
active_subscriptions,android,2026-03-13,D,362,4,358,4,354,341.142857,334.909091,11,true,true,true
active_subscriptions,android,2026-03-14,D,349,-13,362,4,358,345.142857,337.166667,12,true,true,true
active_subscriptions,android,2026-03-15,D,353,4,349,-13,356.333333,349.142857,338.076923,13,true,true,true
active_subscriptions,android,2026-03-16,D,374,21,353,4,354.666667,353.142857,339.142857,14,true,true,true
active_subscriptions,android,2026-03-17,D,378,4,374,21,358.666667,357.142857,341.466667,15,false,true,false
