feature_name,source,availability_type,selected,decision,reason,evidence_status
value_lag_1,window_features,past_observation,true,allow,safe at cutoff,past_only_audit_passed
rolling_7_mean_lag1,window_features,past_observation,true,allow,safe at cutoff,past_only_audit_passed
day_of_week,calendar,known_future_calendar,true,allow,safe at cutoff,known_before_origin
campaign_active,calendar,known_future_calendar,true,allow,safe at cutoff,known_before_origin
current_value,daily_resampled.value,target_at_feature_date,false,reject,forbidden availability: target_at_feature_date,not_selected
future_value_t_plus_1,daily_resampled.value,future_target,false,reject,forbidden availability: future_target,not_selected
centered_rolling_7_mean,derived_window,centered_window,false,reject,forbidden availability: centered_window,not_selected
full_sample_zscore,full_sample_transform,full_sample_statistic,false,reject,forbidden availability: full_sample_statistic,not_selected
random_split_fold,model_selection,random_split,false,reject,forbidden availability: random_split,not_selected
revised_value_after_origin,data_revisions,backfilled_revision_after_origin,false,reject,forbidden availability: backfilled_revision_after_origin,not_selected
