forecast_id,model_run_id,metric_id,segment_id,model_id,family,forecast_date,horizon_step,forecast_value,training_end,raw_step,skipped_embargo_dates
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-03-18,1,1141.999814,2026-03-16,2,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-03-19,2,1150.999913,2026-03-16,3,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-03-20,3,1160.000044,2026-03-16,4,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-03-21,4,1123.000063,2026-03-16,5,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-03-22,5,1132.000039,2026-03-16,6,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-03-23,6,1186.99991,2026-03-16,7,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-03-24,7,1195.999776,2026-03-16,8,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-03-25,8,1204.999724,2026-03-16,9,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-03-26,9,1213.999823,2026-03-16,10,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-03-27,10,1222.999953,2026-03-16,11,2026-03-17
