backtest_id,forecast_id,split_id,window_type,metric_id,segment_id,model_id,model_role,family,forecast_date,horizon_step,forecast_value,training_start,training_end,raw_step,anchor_dates,fit_status,convergence_status,statsmodels_warning_count,statsmodels_warnings
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-02-24,expanding,active_subscriptions,all,seasonal_naive_7,primary_baseline,Baseline,2026-02-24,1,881,2026-02-02,2026-02-22,2,2026-02-17,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-02-24,expanding,active_subscriptions,all,seasonal_naive_7,primary_baseline,Baseline,2026-02-25,2,890,2026-02-02,2026-02-22,3,2026-02-18,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-02-24,expanding,active_subscriptions,all,seasonal_naive_7,primary_baseline,Baseline,2026-02-26,3,899,2026-02-02,2026-02-22,4,2026-02-19,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-02-24,expanding,active_subscriptions,all,ets_additive_trend_seasonal_7,candidate,ETS,2026-02-24,1,944.000002,2026-02-02,2026-02-22,2,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-02-24,expanding,active_subscriptions,all,ets_additive_trend_seasonal_7,candidate,ETS,2026-02-25,2,953.000002,2026-02-02,2026-02-22,3,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-02-24,expanding,active_subscriptions,all,ets_additive_trend_seasonal_7,candidate,ETS,2026-02-26,3,962.000002,2026-02-02,2026-02-22,4,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-02-24,expanding,active_subscriptions,all,arima_1_1_0,candidate,ARIMA,2026-02-24,1,886.913429,2026-02-02,2026-02-22,2,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-02-24,expanding,active_subscriptions,all,arima_1_1_0,candidate,ARIMA,2026-02-25,2,886.920637,2026-02-02,2026-02-22,3,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-02-24,expanding,active_subscriptions,all,arima_1_1_0,candidate,ARIMA,2026-02-26,3,886.921306,2026-02-02,2026-02-22,4,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-02-24,expanding,active_subscriptions,android,seasonal_naive_7,primary_baseline,Baseline,2026-02-24,1,266,2026-02-02,2026-02-22,2,2026-02-17,fit,not_applicable,0,
