metric_evaluation_id,forecast_id,backtest_id,aggregation_level,target_metric,segment_id,horizon_step,model_id,model_role,family,n_errors,mae,rmse,mape,smape,wape,mase,mape_status,smape_status
active-subscriptions-forecast-metrics,active-subscriptions-4w-capacity,active-subscriptions-rolling-origin-backtest,overall,active_subscriptions,*,*,seasonal_naive_7,primary_baseline,Baseline,24,46.5,50.264301,7.354241,7.643729,6.782133,1.009831,reported,reported
active-subscriptions-forecast-metrics,active-subscriptions-4w-capacity,active-subscriptions-rolling-origin-backtest,segment,active_subscriptions,all,*,seasonal_naive_7,primary_baseline,Baseline,12,65,65.337585,6.280718,6.48653,6.267577,1.019662,reported,reported
active-subscriptions-forecast-metrics,active-subscriptions-4w-capacity,active-subscriptions-rolling-origin-backtest,segment,active_subscriptions,android,*,seasonal_naive_7,primary_baseline,Baseline,12,28,28,8.427764,8.800928,8.379052,1,reported,reported
active-subscriptions-forecast-metrics,active-subscriptions-4w-capacity,active-subscriptions-rolling-origin-backtest,horizon,active_subscriptions,*,1,seasonal_naive_7,primary_baseline,Baseline,8,47,50.828142,7.501734,7.801894,6.944958,1.017358,reported,reported
active-subscriptions-forecast-metrics,active-subscriptions-4w-capacity,active-subscriptions-rolling-origin-backtest,horizon,active_subscriptions,*,2,seasonal_naive_7,primary_baseline,Baseline,8,47,50.828142,7.421616,7.715095,6.878888,1.017358,reported,reported
active-subscriptions-forecast-metrics,active-subscriptions-4w-capacity,active-subscriptions-rolling-origin-backtest,horizon,active_subscriptions,*,3,seasonal_naive_7,primary_baseline,Baseline,8,45.5,49.117207,7.139372,7.414198,6.529148,0.994777,reported,reported
active-subscriptions-forecast-metrics,active-subscriptions-4w-capacity,active-subscriptions-rolling-origin-backtest,overall,active_subscriptions,*,*,ets_additive_trend_seasonal_7,candidate,ETS,24,3.166694,6.377098,0.290225,0.290046,0.46187,0.0489,reported,reported
active-subscriptions-forecast-metrics,active-subscriptions-4w-capacity,active-subscriptions-rolling-origin-backtest,segment,active_subscriptions,all,*,ets_additive_trend_seasonal_7,candidate,ETS,12,6.333388,9.018579,0.58045,0.580091,0.610692,0.097799,reported,reported
active-subscriptions-forecast-metrics,active-subscriptions-4w-capacity,active-subscriptions-rolling-origin-backtest,segment,active_subscriptions,android,*,ets_additive_trend_seasonal_7,candidate,ETS,12,0.000001,0,0,0,0,0,reported,reported
active-subscriptions-forecast-metrics,active-subscriptions-4w-capacity,active-subscriptions-rolling-origin-backtest,horizon,active_subscriptions,*,1,ets_additive_trend_seasonal_7,candidate,ETS,8,3.000015,6.000027,0.279347,0.279332,0.443297,0.04639,reported,reported
active-subscriptions-forecast-metrics,active-subscriptions-4w-capacity,active-subscriptions-rolling-origin-backtest,horizon,active_subscriptions,*,2,ets_additive_trend_seasonal_7,candidate,ETS,8,3.000028,6.000052,0.277026,0.277012,0.439082,0.046391,reported,reported
active-subscriptions-forecast-metrics,active-subscriptions-4w-capacity,active-subscriptions-rolling-origin-backtest,horizon,active_subscriptions,*,3,ets_additive_trend_seasonal_7,candidate,ETS,8,3.50004,7.071152,0.314303,0.313794,0.502248,0.053918,reported,reported
active-subscriptions-forecast-metrics,active-subscriptions-4w-capacity,active-subscriptions-rolling-origin-backtest,overall,active_subscriptions,*,*,arima_1_1_0,candidate,ARIMA,24,41.765465,47.942236,6.543852,6.788417,6.09159,0.897672,reported,reported
active-subscriptions-forecast-metrics,active-subscriptions-4w-capacity,active-subscriptions-rolling-origin-backtest,segment,active_subscriptions,all,*,arima_1_1_0,candidate,ARIMA,12,59.578571,62.844198,5.792477,5.971556,5.74482,0.939904,reported,reported
active-subscriptions-forecast-metrics,active-subscriptions-4w-capacity,active-subscriptions-rolling-origin-backtest,segment,active_subscriptions,android,*,arima_1_1_0,candidate,ARIMA,12,23.952358,25.446468,7.295227,7.605277,7.167788,0.855441,reported,reported
active-subscriptions-forecast-metrics,active-subscriptions-4w-capacity,active-subscriptions-rolling-origin-backtest,horizon,active_subscriptions,*,1,arima_1_1_0,candidate,ARIMA,8,37.78225,42.499807,5.902386,6.075714,5.582896,0.802894,reported,reported
active-subscriptions-forecast-metrics,active-subscriptions-4w-capacity,active-subscriptions-rolling-origin-backtest,horizon,active_subscriptions,*,2,arima_1_1_0,candidate,ARIMA,8,41.035462,47.429474,6.387759,6.625951,6.005922,0.87531,reported,reported
active-subscriptions-forecast-metrics,active-subscriptions-4w-capacity,active-subscriptions-rolling-origin-backtest,horizon,active_subscriptions,*,3,arima_1_1_0,candidate,ARIMA,8,46.478683,53.28776,7.341411,7.663585,6.669587,1.014814,reported,reported
