case_id,label,gate,metric_id,segment_id,event_date,severity,evidence,recommended_action
calendar-all-2026-03-08,calendar_expected,calendar_context,active_subscriptions,all,2026-03-08,info,holiday:spring_promo_day,annotate_forecast_residual_before_business_alert
calendar-android-2026-03-08,calendar_expected,calendar_context,active_subscriptions,android,2026-03-08,info,holiday:spring_promo_day,annotate_forecast_residual_before_business_alert
calendar-all-2026-03-10,calendar_expected,calendar_context,active_subscriptions,all,2026-03-10,info,release_active,annotate_forecast_residual_before_business_alert
calendar-android-2026-03-10,calendar_expected,calendar_context,active_subscriptions,android,2026-03-10,info,release_active,annotate_forecast_residual_before_business_alert
calendar-all-2026-03-11,calendar_expected,calendar_context,active_subscriptions,all,2026-03-11,info,release_active,annotate_forecast_residual_before_business_alert
calendar-android-2026-03-11,calendar_expected,calendar_context,active_subscriptions,android,2026-03-11,info,release_active,annotate_forecast_residual_before_business_alert
calendar-all-2026-03-12,calendar_expected,calendar_context,active_subscriptions,all,2026-03-12,info,release_active,annotate_forecast_residual_before_business_alert
calendar-android-2026-03-12,calendar_expected,calendar_context,active_subscriptions,android,2026-03-12,info,release_active,annotate_forecast_residual_before_business_alert
dq-revision-all-2026-03-12,data_quality,data_quality,active_subscriptions,all,2026-03-12,warning,revision_number=2; reason=late_refund_reconciliation,rebuild_history_before_interpreting_residual
dq-source-all-2026-03-17,data_quality,data_quality,active_subscriptions,all,2026-03-17,warning,source_status=partial; is_complete_period=false,exclude_from_alerting_until_period_closes
dq-source-android-2026-03-17,data_quality,data_quality,active_subscriptions,android,2026-03-17,warning,source_status=partial; is_complete_period=false,exclude_from_alerting_until_period_closes
future-context-all-2026-03-20,inconclusive,business_review,active_subscriptions,all,2026-03-20,info,future_interval_with_known_context=campaign_active,wait_for_actual_and_quality_gates_before_alerting
future-context-android-2026-03-20,inconclusive,business_review,active_subscriptions,android,2026-03-20,info,future_interval_with_known_context=campaign_active,wait_for_actual_and_quality_gates_before_alerting
future-context-all-2026-03-21,inconclusive,business_review,active_subscriptions,all,2026-03-21,info,future_interval_with_known_context=campaign_active,wait_for_actual_and_quality_gates_before_alerting
future-context-android-2026-03-21,inconclusive,business_review,active_subscriptions,android,2026-03-21,info,future_interval_with_known_context=campaign_active,wait_for_actual_and_quality_gates_before_alerting
future-context-all-2026-03-22,inconclusive,business_review,active_subscriptions,all,2026-03-22,info,future_interval_with_known_context=campaign_active,wait_for_actual_and_quality_gates_before_alerting
future-context-android-2026-03-22,inconclusive,business_review,active_subscriptions,android,2026-03-22,info,future_interval_with_known_context=campaign_active,wait_for_actual_and_quality_gates_before_alerting
future-context-all-2026-03-23,inconclusive,business_review,active_subscriptions,all,2026-03-23,info,future_interval_with_known_context=campaign_active,wait_for_actual_and_quality_gates_before_alerting
future-context-android-2026-03-23,inconclusive,business_review,active_subscriptions,android,2026-03-23,info,future_interval_with_known_context=campaign_active,wait_for_actual_and_quality_gates_before_alerting
future-context-all-2026-03-24,inconclusive,business_review,active_subscriptions,all,2026-03-24,info,future_interval_with_known_context=campaign_active,wait_for_actual_and_quality_gates_before_alerting
future-context-android-2026-03-24,inconclusive,business_review,active_subscriptions,android,2026-03-24,info,future_interval_with_known_context=campaign_active,wait_for_actual_and_quality_gates_before_alerting
future-context-all-2026-03-25,inconclusive,business_review,active_subscriptions,all,2026-03-25,info,future_interval_with_known_context=campaign_active,wait_for_actual_and_quality_gates_before_alerting
future-context-android-2026-03-25,inconclusive,business_review,active_subscriptions,android,2026-03-25,info,future_interval_with_known_context=campaign_active,wait_for_actual_and_quality_gates_before_alerting
future-context-all-2026-03-26,inconclusive,business_review,active_subscriptions,all,2026-03-26,info,future_interval_with_known_context=campaign_active,wait_for_actual_and_quality_gates_before_alerting
future-context-android-2026-03-26,inconclusive,business_review,active_subscriptions,android,2026-03-26,info,future_interval_with_known_context=campaign_active,wait_for_actual_and_quality_gates_before_alerting
future-context-all-2026-03-27,inconclusive,business_review,active_subscriptions,all,2026-03-27,info,future_interval_with_known_context=campaign_active,wait_for_actual_and_quality_gates_before_alerting
future-context-android-2026-03-27,inconclusive,business_review,active_subscriptions,android,2026-03-27,info,future_interval_with_known_context=campaign_active,wait_for_actual_and_quality_gates_before_alerting
model-misspec-arima_1_1_0-horizon-*-2,model_misspecification,model_diagnostics,active_subscriptions,*,backtest,warning,method=model_based_normal; empirical_coverage=0.625,do_not_use_model_based_normal_as_anomaly_threshold
model-misspec-arima_1_1_0-horizon-*-3,model_misspecification,model_diagnostics,active_subscriptions,*,backtest,warning,method=model_based_normal; empirical_coverage=0.125,do_not_use_model_based_normal_as_anomaly_threshold
model-misspec-arima_1_1_0-overall-*-*,model_misspecification,model_diagnostics,active_subscriptions,*,backtest,warning,method=model_based_normal; empirical_coverage=0.583333,do_not_use_model_based_normal_as_anomaly_threshold
model-misspec-ets_additive_trend_seasonal_7-horizon-*-2,model_misspecification,model_diagnostics,active_subscriptions,*,backtest,warning,method=model_based_normal; empirical_coverage=0.875,do_not_use_model_based_normal_as_anomaly_threshold
model-misspec-ets_additive_trend_seasonal_7-horizon-*-3,model_misspecification,model_diagnostics,active_subscriptions,*,backtest,warning,method=model_based_normal; empirical_coverage=0.875,do_not_use_model_based_normal_as_anomaly_threshold
model-misspec-seasonal_naive_7-horizon-*-1,model_misspecification,model_diagnostics,active_subscriptions,*,backtest,warning,method=model_based_normal; empirical_coverage=0,do_not_use_model_based_normal_as_anomaly_threshold
model-misspec-seasonal_naive_7-horizon-*-2,model_misspecification,model_diagnostics,active_subscriptions,*,backtest,warning,method=model_based_normal; empirical_coverage=0,do_not_use_model_based_normal_as_anomaly_threshold
model-misspec-seasonal_naive_7-horizon-*-3,model_misspecification,model_diagnostics,active_subscriptions,*,backtest,warning,method=model_based_normal; empirical_coverage=0,do_not_use_model_based_normal_as_anomaly_threshold
model-misspec-seasonal_naive_7-overall-*-*,model_misspecification,model_diagnostics,active_subscriptions,*,backtest,warning,method=model_based_normal; empirical_coverage=0,do_not_use_model_based_normal_as_anomaly_threshold
model-misspec-arima_1_1_0-segment-all-*,model_misspecification,model_diagnostics,active_subscriptions,all,backtest,warning,method=model_based_normal; empirical_coverage=0.75,do_not_use_model_based_normal_as_anomaly_threshold
model-misspec-seasonal_naive_7-segment-all-*,model_misspecification,model_diagnostics,active_subscriptions,all,backtest,warning,method=model_based_normal; empirical_coverage=0,do_not_use_model_based_normal_as_anomaly_threshold
model-misspec-arima_1_1_0-segment-android-*,model_misspecification,model_diagnostics,active_subscriptions,android,backtest,warning,method=model_based_normal; empirical_coverage=0.416667,do_not_use_model_based_normal_as_anomaly_threshold
model-misspec-ets_additive_trend_seasonal_7-segment-android-*,model_misspecification,model_diagnostics,active_subscriptions,android,backtest,warning,method=model_based_normal; empirical_coverage=0.833333,do_not_use_model_based_normal_as_anomaly_threshold
model-misspec-seasonal_naive_7-segment-android-*,model_misspecification,model_diagnostics,active_subscriptions,android,backtest,warning,method=model_based_normal; empirical_coverage=0,do_not_use_model_based_normal_as_anomaly_threshold
