date,week_start,day_of_week,is_weekend,is_holiday,holiday_name,campaign_active,release_active,payday_week,support_capacity,known_before_date
2026-03-02,2026-03-02,Monday,false,false,,false,false,true,38,2026-02-16
2026-03-03,2026-03-02,Tuesday,false,false,,false,false,true,38,2026-02-17
2026-03-04,2026-03-02,Wednesday,false,false,,false,false,true,38,2026-02-18
2026-03-05,2026-03-02,Thursday,false,false,,false,false,true,38,2026-02-19
2026-03-06,2026-03-02,Friday,false,false,,false,false,true,38,2026-02-20
2026-03-07,2026-03-02,Saturday,true,false,,false,false,true,38,2026-02-21
2026-03-08,2026-03-02,Sunday,true,true,spring_promo_day,false,false,true,38,2026-02-22
2026-03-09,2026-03-09,Monday,false,false,,false,false,false,38,2026-02-23
2026-03-10,2026-03-09,Tuesday,false,false,,false,true,false,44,2026-02-24
2026-03-11,2026-03-09,Wednesday,false,false,,false,true,false,44,2026-02-25
2026-03-12,2026-03-09,Thursday,false,false,,false,true,false,44,2026-02-26
2026-03-13,2026-03-09,Friday,false,false,,false,false,false,38,2026-02-27
2026-03-14,2026-03-09,Saturday,true,false,,false,false,false,38,2026-02-28
2026-03-15,2026-03-09,Sunday,true,false,,false,false,false,38,2026-03-01
2026-03-16,2026-03-16,Monday,false,false,,false,false,false,38,2026-03-02
2026-03-17,2026-03-16,Tuesday,false,false,,false,false,false,38,2026-03-03
2026-03-18,2026-03-16,Wednesday,false,false,,false,false,false,38,2026-03-04
2026-03-19,2026-03-16,Thursday,false,false,,false,false,false,38,2026-03-05
2026-03-20,2026-03-16,Friday,false,false,,true,false,false,38,2026-03-06
2026-03-21,2026-03-16,Saturday,true,false,,true,false,false,38,2026-03-07
2026-03-22,2026-03-16,Sunday,true,false,,true,false,false,38,2026-03-08
2026-03-23,2026-03-23,Monday,false,false,,true,false,false,38,2026-03-09
2026-03-24,2026-03-23,Tuesday,false,false,,true,false,false,38,2026-03-10
2026-03-25,2026-03-23,Wednesday,false,false,,true,false,false,38,2026-03-11
2026-03-26,2026-03-23,Thursday,false,false,,true,false,false,38,2026-03-12
2026-03-27,2026-03-23,Friday,false,false,,true,false,false,38,2026-03-13
2026-03-28,2026-03-23,Saturday,true,false,,false,false,false,38,2026-03-14
2026-03-29,2026-03-23,Sunday,true,false,,false,false,false,38,2026-03-15
2026-03-30,2026-03-30,Monday,false,false,,false,false,true,38,2026-03-16
2026-03-31,2026-03-30,Tuesday,false,false,,false,false,true,38,2026-03-17
2026-04-01,2026-03-30,Wednesday,false,false,,false,false,true,38,2026-03-18
2026-04-02,2026-03-30,Thursday,false,false,,false,false,true,38,2026-03-19
2026-04-03,2026-03-30,Friday,false,false,,false,false,true,38,2026-03-20
2026-04-04,2026-03-30,Saturday,true,false,,false,false,true,38,2026-03-21
2026-04-05,2026-03-30,Sunday,true,false,,false,false,true,38,2026-03-22
2026-04-06,2026-04-06,Monday,false,false,,false,false,false,38,2026-03-23
2026-04-07,2026-04-06,Tuesday,false,false,,false,false,false,38,2026-03-24
2026-04-08,2026-04-06,Wednesday,false,false,,false,false,false,38,2026-03-25
2026-04-09,2026-04-06,Thursday,false,false,,false,false,false,38,2026-03-26
2026-04-10,2026-04-06,Friday,false,false,,false,false,false,38,2026-03-27
2026-04-11,2026-04-06,Saturday,true,false,,false,false,false,38,2026-03-28
2026-04-12,2026-04-06,Sunday,true,false,,false,false,false,38,2026-03-29
2026-04-13,2026-04-13,Monday,false,false,,false,false,false,38,2026-03-30
2026-04-14,2026-04-13,Tuesday,false,false,,false,false,false,38,2026-03-31
