metric_id,segment_id,observed_date,period_start_at,published_at,value,denominator,is_complete_period,revision_number,source_status
active_subscriptions,all,2026-03-02,2026-03-01T21:00:00Z,2026-03-02T09:15:00+03:00,998,1200,true,1,ok
active_subscriptions,android,2026-03-02,2026-03-01T21:00:00Z,2026-03-02T09:35:00+03:00,318,420,true,1,ok
active_subscriptions,all,2026-03-03,2026-03-02T21:00:00Z,2026-03-03T09:15:00+03:00,1007,1208,true,1,ok
active_subscriptions,android,2026-03-03,2026-03-02T21:00:00Z,2026-03-03T09:35:00+03:00,322,423,true,1,ok
active_subscriptions,all,2026-03-04,2026-03-03T21:00:00Z,2026-03-04T09:15:00+03:00,1016,1216,true,1,ok
active_subscriptions,android,2026-03-04,2026-03-03T21:00:00Z,2026-03-04T09:35:00+03:00,326,426,true,1,ok
active_subscriptions,all,2026-03-05,2026-03-04T21:00:00Z,2026-03-05T09:15:00+03:00,1025,1224,true,1,ok
active_subscriptions,android,2026-03-05,2026-03-04T21:00:00Z,2026-03-05T09:35:00+03:00,330,429,true,1,ok
active_subscriptions,all,2026-03-06,2026-03-05T21:00:00Z,2026-03-06T09:15:00+03:00,1034,1232,true,1,ok
active_subscriptions,android,2026-03-06,2026-03-05T21:00:00Z,2026-03-06T09:35:00+03:00,334,432,true,1,ok
active_subscriptions,all,2026-03-07,2026-03-06T21:00:00Z,2026-03-07T09:15:00+03:00,1003,1240,true,1,ok
active_subscriptions,android,2026-03-07,2026-03-06T21:00:00Z,2026-03-07T09:35:00+03:00,321,435,true,1,ok
active_subscriptions,all,2026-03-08,2026-03-07T21:00:00Z,2026-03-08T09:15:00+03:00,1012,1248,true,1,ok
active_subscriptions,android,2026-03-08,2026-03-07T21:00:00Z,2026-03-08T09:35:00+03:00,325,438,true,1,ok
active_subscriptions,all,2026-03-09,2026-03-08T21:00:00Z,2026-03-09T09:15:00+03:00,1073,1256,true,1,ok
active_subscriptions,android,2026-03-09,2026-03-08T21:00:00Z,2026-03-09T09:35:00+03:00,346,441,true,1,ok
active_subscriptions,all,2026-03-10,2026-03-09T21:00:00Z,2026-03-10T09:15:00+03:00,1082,1264,true,1,ok
active_subscriptions,android,2026-03-10,2026-03-09T21:00:00Z,2026-03-10T09:35:00+03:00,350,444,true,1,ok
active_subscriptions,all,2026-03-11,2026-03-10T21:00:00Z,2026-03-11T09:15:00+03:00,1091,1272,true,1,ok
active_subscriptions,android,2026-03-11,2026-03-10T21:00:00Z,2026-03-11T09:35:00+03:00,354,447,true,1,ok
active_subscriptions,all,2026-03-12,2026-03-11T21:00:00Z,2026-03-12T09:15:00+03:00,1100,1280,true,1,ok
active_subscriptions,android,2026-03-12,2026-03-11T21:00:00Z,2026-03-12T09:35:00+03:00,358,450,true,1,ok
active_subscriptions,all,2026-03-13,2026-03-12T21:00:00Z,2026-03-13T09:15:00+03:00,1109,1288,true,1,ok
active_subscriptions,android,2026-03-13,2026-03-12T21:00:00Z,2026-03-13T09:35:00+03:00,362,453,true,1,ok
active_subscriptions,all,2026-03-14,2026-03-13T21:00:00Z,2026-03-14T09:15:00+03:00,1066,1296,true,1,ok
active_subscriptions,android,2026-03-14,2026-03-13T21:00:00Z,2026-03-14T09:35:00+03:00,349,456,true,1,ok
active_subscriptions,all,2026-03-15,2026-03-14T21:00:00Z,2026-03-15T09:15:00+03:00,1075,1304,true,1,ok
active_subscriptions,android,2026-03-15,2026-03-14T21:00:00Z,2026-03-15T09:35:00+03:00,353,459,true,1,ok
active_subscriptions,all,2026-03-16,2026-03-15T21:00:00Z,2026-03-16T09:15:00+03:00,1124,1312,true,1,ok
active_subscriptions,android,2026-03-16,2026-03-15T21:00:00Z,2026-03-16T09:35:00+03:00,374,462,true,1,ok
active_subscriptions,all,2026-03-17,2026-03-16T21:00:00Z,2026-03-17T09:15:00+03:00,1133,1320,false,1,partial
active_subscriptions,android,2026-03-17,2026-03-16T21:00:00Z,2026-03-17T09:35:00+03:00,378,465,false,1,partial
