event_id,segment_id,occurred_at,available_at,event_type,delta_active,source_system,ingestion_status
sub-delta-all-2026-03-02,all,2026-03-01T21:30:00Z,2026-03-02T09:10:00+03:00,active_subscription_delta,18,subscription_ledger,ok
sub-delta-android-2026-03-02,android,2026-03-01T21:30:00Z,2026-03-02T09:20:00+03:00,active_subscription_delta,8,subscription_ledger,ok
sub-delta-all-2026-03-03,all,2026-03-02T21:30:00Z,2026-03-03T09:10:00+03:00,active_subscription_delta,9,subscription_ledger,ok
sub-delta-android-2026-03-03,android,2026-03-02T21:30:00Z,2026-03-03T09:20:00+03:00,active_subscription_delta,4,subscription_ledger,ok
sub-delta-all-2026-03-04,all,2026-03-03T21:30:00Z,2026-03-04T09:10:00+03:00,active_subscription_delta,9,subscription_ledger,ok
sub-delta-android-2026-03-04,android,2026-03-03T21:30:00Z,2026-03-04T09:20:00+03:00,active_subscription_delta,4,subscription_ledger,ok
sub-delta-all-2026-03-05,all,2026-03-04T21:30:00Z,2026-03-05T09:10:00+03:00,active_subscription_delta,9,subscription_ledger,ok
sub-delta-android-2026-03-05,android,2026-03-04T21:30:00Z,2026-03-05T09:20:00+03:00,active_subscription_delta,4,subscription_ledger,ok
sub-delta-all-2026-03-06,all,2026-03-05T21:30:00Z,2026-03-06T09:10:00+03:00,active_subscription_delta,9,subscription_ledger,ok
sub-delta-android-2026-03-06,android,2026-03-05T21:30:00Z,2026-03-06T09:20:00+03:00,active_subscription_delta,4,subscription_ledger,ok
sub-delta-all-2026-03-07,all,2026-03-06T21:30:00Z,2026-03-07T09:10:00+03:00,active_subscription_delta,-31,subscription_ledger,ok
sub-delta-android-2026-03-07,android,2026-03-06T21:30:00Z,2026-03-07T09:20:00+03:00,active_subscription_delta,-13,subscription_ledger,ok
sub-delta-all-2026-03-08,all,2026-03-07T21:30:00Z,2026-03-08T09:10:00+03:00,active_subscription_delta,9,subscription_ledger,ok
sub-delta-android-2026-03-08,android,2026-03-07T21:30:00Z,2026-03-08T09:20:00+03:00,active_subscription_delta,4,subscription_ledger,ok
sub-delta-all-2026-03-09,all,2026-03-08T21:30:00Z,2026-03-09T09:10:00+03:00,active_subscription_delta,61,subscription_ledger,ok
sub-delta-android-2026-03-09,android,2026-03-08T21:30:00Z,2026-03-09T09:20:00+03:00,active_subscription_delta,21,subscription_ledger,ok
sub-delta-all-2026-03-10,all,2026-03-09T21:30:00Z,2026-03-10T09:10:00+03:00,active_subscription_delta,9,subscription_ledger,ok
sub-delta-android-2026-03-10,android,2026-03-09T21:30:00Z,2026-03-10T09:20:00+03:00,active_subscription_delta,4,subscription_ledger,ok
sub-delta-all-2026-03-11,all,2026-03-10T21:30:00Z,2026-03-11T09:10:00+03:00,active_subscription_delta,9,subscription_ledger,ok
sub-delta-android-2026-03-11,android,2026-03-10T21:30:00Z,2026-03-11T09:20:00+03:00,active_subscription_delta,4,subscription_ledger,ok
sub-delta-all-2026-03-12,all,2026-03-11T21:30:00Z,2026-03-12T09:10:00+03:00,active_subscription_delta,9,subscription_ledger,ok
sub-delta-android-2026-03-12,android,2026-03-11T21:30:00Z,2026-03-12T09:20:00+03:00,active_subscription_delta,4,subscription_ledger,ok
sub-delta-all-2026-03-13,all,2026-03-12T21:30:00Z,2026-03-13T09:10:00+03:00,active_subscription_delta,9,subscription_ledger,ok
sub-delta-android-2026-03-13,android,2026-03-12T21:30:00Z,2026-03-13T09:20:00+03:00,active_subscription_delta,4,subscription_ledger,ok
sub-delta-all-2026-03-14,all,2026-03-13T21:30:00Z,2026-03-14T09:10:00+03:00,active_subscription_delta,-43,subscription_ledger,ok
sub-delta-android-2026-03-14,android,2026-03-13T21:30:00Z,2026-03-14T09:20:00+03:00,active_subscription_delta,-13,subscription_ledger,ok
sub-delta-all-2026-03-15,all,2026-03-14T21:30:00Z,2026-03-15T09:10:00+03:00,active_subscription_delta,9,subscription_ledger,ok
sub-delta-android-2026-03-15,android,2026-03-14T21:30:00Z,2026-03-15T09:20:00+03:00,active_subscription_delta,4,subscription_ledger,ok
sub-delta-all-2026-03-16,all,2026-03-15T21:30:00Z,2026-03-16T09:10:00+03:00,active_subscription_delta,49,subscription_ledger,ok
sub-delta-android-2026-03-16,android,2026-03-15T21:30:00Z,2026-03-16T09:20:00+03:00,active_subscription_delta,21,subscription_ledger,ok
sub-delta-all-2026-03-17,all,2026-03-16T21:30:00Z,2026-03-17T09:10:00+03:00,active_subscription_delta,9,subscription_ledger,partial
sub-delta-android-2026-03-17,android,2026-03-16T21:30:00Z,2026-03-17T09:20:00+03:00,active_subscription_delta,4,subscription_ledger,partial
