route,kind,column,action,transformer,output_feature_count,reason
remainder,key,snapshot_id,drop,drop,0,identifier_not_model_feature
numeric_median,numeric,sessions_14d,transform,SimpleImputer|StandardScaler,1,explicit_route
numeric_median,numeric,active_days_14d,transform,SimpleImputer|StandardScaler,1,explicit_route
numeric_median,numeric,days_since_signup,transform,SimpleImputer|StandardScaler,1,explicit_route
numeric_constant,numeric,support_tickets_14d,transform,SimpleImputer|StandardScaler,1,explicit_route
numeric_constant,numeric,revenue_30d,transform,SimpleImputer|StandardScaler,1,explicit_route
categorical,categorical,plan_id,transform,UnknownCategoryBucketer|OneHotEncoder,4,explicit_route
categorical,categorical,platform,transform,UnknownCategoryBucketer|OneHotEncoder,5,explicit_route
categorical,categorical,country,transform,UnknownCategoryBucketer|OneHotEncoder,4,explicit_route
categorical,categorical,acquisition_channel,transform,UnknownCategoryBucketer|OneHotEncoder,5,explicit_route
binary,binary,had_support_ticket_14d,transform,SimpleImputer,1,explicit_route
