model_id,feature_position,feature_name,source_route,source_column,source_category,coefficient,abs_coefficient,odds_multiplier_per_unit,direction,model_intercept,regularization,interpretation_limit,coefficient_rank_by_abs
logistic_l2,0,numeric_median__sessions_14d,numeric_median,sessions_14d,,0.443988,0.443988,1.558911,positive_churn_risk,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,1
logistic_l2,9,categorical__platform_android,categorical,platform,android,0.424599,0.424599,1.528977,positive_churn_risk,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,2
logistic_l2,19,categorical__acquisition_channel_paid_search,categorical,acquisition_channel,paid_search,-0.333739,0.333739,0.716241,negative_churn_risk,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,3
logistic_l2,10,categorical__platform_ios,categorical,platform,ios,-0.333739,0.333739,0.716241,negative_churn_risk,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,4
logistic_l2,4,numeric_constant__revenue_30d,numeric_constant,revenue_30d,,-0.30557,0.30557,0.736703,negative_churn_risk,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,5
logistic_l2,3,numeric_constant__support_tickets_14d,numeric_constant,support_tickets_14d,,0.281061,0.281061,1.324534,positive_churn_risk,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,6
logistic_l2,20,categorical__acquisition_channel_referral,categorical,acquisition_channel,referral,0.262663,0.262663,1.300389,positive_churn_risk,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,7
logistic_l2,1,numeric_median__active_days_14d,numeric_median,active_days_14d,,0.229651,0.229651,1.258161,positive_churn_risk,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,8
logistic_l2,2,numeric_median__days_since_signup,numeric_median,days_since_signup,,-0.206652,0.206652,0.813303,negative_churn_risk,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,9
logistic_l2,14,categorical__country_KZ,categorical,country,KZ,-0.146134,0.146134,0.864042,negative_churn_risk,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,10
logistic_l2,6,categorical__plan_id_trial_pro,categorical,plan_id,trial_pro,-0.146134,0.146134,0.864042,negative_churn_risk,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,11
logistic_l2,11,categorical__platform_web,categorical,platform,web,-0.146134,0.146134,0.864042,negative_churn_risk,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,12
logistic_l2,15,categorical__country_RU,categorical,country,RU,0.09086,0.09086,1.095116,positive_churn_risk,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,13
logistic_l2,5,categorical__plan_id_trial_basic,categorical,plan_id,trial_basic,0.09086,0.09086,1.095116,positive_churn_risk,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,14
logistic_l2,23,binary__had_support_ticket_14d,binary,had_support_ticket_14d,,-0.071076,0.071076,0.931391,negative_churn_risk,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,15
logistic_l2,18,categorical__acquisition_channel_organic,categorical,acquisition_channel,organic,0.015802,0.015802,1.015927,positive_churn_risk,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,16
logistic_l2,21,categorical__acquisition_channel___missing__,categorical,acquisition_channel,__missing__,0.0,0.0,1.0,near_zero,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,17
logistic_l2,22,categorical__acquisition_channel___unknown__,categorical,acquisition_channel,__unknown__,0.0,0.0,1.0,near_zero,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,18
logistic_l2,16,categorical__country___missing__,categorical,country,__missing__,0.0,0.0,1.0,near_zero,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,19
logistic_l2,17,categorical__country___unknown__,categorical,country,__unknown__,0.0,0.0,1.0,near_zero,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,20
logistic_l2,7,categorical__plan_id___missing__,categorical,plan_id,__missing__,0.0,0.0,1.0,near_zero,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,21
logistic_l2,8,categorical__plan_id___unknown__,categorical,plan_id,__unknown__,0.0,0.0,1.0,near_zero,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,22
logistic_l2,12,categorical__platform___missing__,categorical,platform,__missing__,0.0,0.0,1.0,near_zero,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,23
logistic_l2,13,categorical__platform___unknown__,categorical,platform,__unknown__,0.0,0.0,1.0,near_zero,-0.055274,l2_l1_ratio_0_C_1,conditional_on_preprocessing_regularization_and_tiny_sample_not_causal,24
