source,model_id,model_kind,split,row_count,positive_count,negative_count,selection_budget,precision_at_budget,recall_at_budget,average_precision,roc_auc,log_loss,error_cost_at_budget,accuracy_at_0_5,selected_on_validation,selection_rank
15/07-linear-baseline,dummy_prior,dummy_classifier,validation,3,1,2,2,0.5,1.0,0.333333,0.5,0.693147,1.0,0.333333,True,1
15/07-linear-baseline,dummy_prior,dummy_classifier,test,5,1,4,2,0.5,1.0,0.2,0.5,0.693147,1.0,0.2,True,1
15/07-linear-baseline,logistic_l2,logistic_regression,validation,3,1,2,2,0.0,0.0,0.333333,0.0,1.153885,7.0,0.0,False,3
15/07-linear-baseline,logistic_l2,logistic_regression,test,5,1,4,2,0.0,0.0,0.333333,0.5,0.67783,7.0,0.4,False,3
15/08-tree-diagnostic,decision_tree_depth2,decision_tree_classifier,train,4,2,2,2,1.0,1.0,1.0,1.0,0.0,0.0,1.0,False,4
15/08-tree-diagnostic,decision_tree_depth2,decision_tree_classifier,validation,3,1,2,2,0.0,0.0,0.333333,0.25,24.029102,7.0,0.333333,False,4
15/08-tree-diagnostic,decision_tree_depth2,decision_tree_classifier,test,5,1,4,2,0.0,0.0,0.2,0.25,21.626192,7.0,0.4,False,4
15/09-tree-ensemble,random_forest_depth2,random_forest_classifier,train,4,2,2,2,1.0,1.0,1.0,1.0,0.264496,0.0,1.0,False,2
15/09-tree-ensemble,random_forest_depth2,random_forest_classifier,validation,3,1,2,2,0.0,0.0,0.333333,0.0,1.004659,7.0,0.0,False,2
15/09-tree-ensemble,random_forest_depth2,random_forest_classifier,test,5,1,4,2,0.0,0.0,0.333333,0.5,0.831365,7.0,0.6,False,2
