dimension,slice_value,row_count,positive_count,negative_count,action_count,tp,fp,tn,fn,precision,recall,false_positive_rate,false_negative_rate,error_rate,selection_rate,brier_score,selected_ids,false_positive_ids,false_negative_ids,small_n_warning,recall_claim_allowed,hidden_failure_candidate,hidden_failure_reasons,interpretation
overall,all,5,1,4,2,1,1,3,0,0.5,1.0,0.25,0.0,0.2,0.4,0.079012,"S009,S010",S009,,False,False,False,,overall_reference
segment_id,android_kz,1,0,1,0,0,0,1,0,,,0.0,,0.0,0.0,0.049383,,,,True,False,False,,diagnostic_only_small_n
segment_id,android_ru,1,0,1,1,0,1,0,0,0.0,,1.0,,1.0,1.0,0.049383,S009,S009,,True,False,False,,diagnostic_only_small_n
segment_id,ios_ru,1,1,0,1,1,0,0,0,1.0,1.0,,0.0,0.0,1.0,0.19753,S010,,,True,False,False,,diagnostic_only_small_n
segment_id,web_kz,1,0,1,0,0,0,1,0,,,0.0,,0.0,0.0,0.049383,,,,True,False,False,,diagnostic_only_small_n
segment_id,web_ru,1,0,1,0,0,0,1,0,,,0.0,,0.0,0.0,0.049383,,,,True,False,False,,diagnostic_only_small_n
platform,android,2,0,2,1,0,1,1,0,0.0,,0.5,,0.5,0.5,0.049383,S009,S009,,True,False,True,"error_rate_above_overall,precision_below_overall",diagnostic_only_small_n
platform,ios,1,1,0,1,1,0,0,0,1.0,1.0,,0.0,0.0,1.0,0.19753,S010,,,True,False,False,,diagnostic_only_small_n
platform,web,2,0,2,0,0,0,2,0,,,0.0,,0.0,0.0,0.049383,,,,True,False,False,,diagnostic_only_small_n
country,KZ,2,0,2,0,0,0,2,0,,,0.0,,0.0,0.0,0.049383,,,,True,False,False,,diagnostic_only_small_n
country,RU,3,1,2,2,1,1,1,0,0.5,1.0,0.5,0.0,0.333333,0.666667,0.098765,"S009,S010",S009,,False,False,False,,slice_diagnostic
plan_id,trial_basic,3,1,2,2,1,1,1,0,0.5,1.0,0.5,0.0,0.333333,0.666667,0.098765,"S009,S010",S009,,False,False,False,,slice_diagnostic
plan_id,trial_pro,2,0,2,0,0,0,2,0,,,0.0,,0.0,0.0,0.049383,,,,True,False,False,,diagnostic_only_small_n
acquisition_channel,organic,2,0,2,1,0,1,1,0,0.0,,0.5,,0.5,0.5,0.049383,S009,S009,,True,False,True,"error_rate_above_overall,precision_below_overall",diagnostic_only_small_n
acquisition_channel,paid_search,1,0,1,0,0,0,1,0,,,0.0,,0.0,0.0,0.049383,,,,True,False,False,,diagnostic_only_small_n
acquisition_channel,partnership,1,1,0,1,1,0,0,0,1.0,1.0,,0.0,0.0,1.0,0.19753,S010,,,True,False,False,,diagnostic_only_small_n
acquisition_channel,referral,1,0,1,0,0,0,1,0,,,0.0,,0.0,0.0,0.049383,,,,True,False,False,,diagnostic_only_small_n
business_cohort,trial_basic:KZ,1,0,1,0,0,0,1,0,,,0.0,,0.0,0.0,0.049383,,,,True,False,False,,diagnostic_only_small_n
business_cohort,trial_basic:RU,2,1,1,2,1,1,0,0,0.5,1.0,1.0,0.0,0.5,1.0,0.123457,"S009,S010",S009,,True,False,True,error_rate_above_overall,diagnostic_only_small_n
business_cohort,trial_pro:KZ,1,0,1,0,0,0,1,0,,,0.0,,0.0,0.0,0.049383,,,,True,False,False,,diagnostic_only_small_n
business_cohort,trial_pro:RU,1,0,1,0,0,0,1,0,,,0.0,,0.0,0.0,0.049383,,,,True,False,False,,diagnostic_only_small_n
score_band,high,1,1,0,1,1,0,0,0,1.0,1.0,,0.0,0.0,1.0,0.19753,S010,,,True,False,False,,diagnostic_only_small_n
score_band,low,4,0,4,1,0,1,3,0,0.0,,0.25,,0.25,0.25,0.049383,S009,S009,,False,False,True,precision_below_overall,hidden_failure_candidate
