snapshot_id,model_id,score,score_type,trained_on_split,generated_at
S001,candidate_risk_score_v0,0.65,churn_risk_probability,train,2026-06-08T09:00:00+03:00
S002,candidate_risk_score_v0,0.45,churn_risk_probability,train,2026-06-08T09:00:00+03:00
S003,candidate_risk_score_v0,0.35,churn_risk_probability,train,2026-06-08T09:00:00+03:00
S004,candidate_risk_score_v0,0.58,churn_risk_probability,train,2026-06-08T09:00:00+03:00
S005,candidate_risk_score_v0,0.74,churn_risk_probability,train,2026-06-08T09:00:00+03:00
S006,candidate_risk_score_v0,0.60,churn_risk_probability,train,2026-06-08T09:00:00+03:00
S007,candidate_risk_score_v0,0.30,churn_risk_probability,train,2026-06-08T09:00:00+03:00
S009,candidate_risk_score_v0,0.61,churn_risk_probability,train,2026-06-08T09:00:00+03:00
S010,candidate_risk_score_v0,0.66,churn_risk_probability,train,2026-06-08T09:00:00+03:00
S011,candidate_risk_score_v0,0.40,churn_risk_probability,train,2026-06-08T09:00:00+03:00
S012,candidate_risk_score_v0,0.30,churn_risk_probability,train,2026-06-08T09:00:00+03:00
S013,candidate_risk_score_v0,0.20,churn_risk_probability,train,2026-06-08T09:00:00+03:00
