feature_name,source_id,source_table,feature_role,timing,available_at_policy,max_observed_at,used_in_delivery_model,risk_type,notes
sessions_14d,events_lookback_14d,ml_events,delivery_model_feature,lookback_before_prediction_time,event_time < prediction_time and ingested before scoring,prediction_time - 20m,true,none,past product activity only
active_days_14d,events_lookback_14d,ml_events,delivery_model_feature,lookback_before_prediction_time,event_time < prediction_time and ingested before scoring,prediction_time - 20m,true,none,past product activity only
support_tickets_14d,support_tickets_before_prediction,ml_support_tickets,delivery_model_feature,lookback_before_prediction_time,ticket_created_at < prediction_time,prediction_time - 50m,true,none,support history before scoring
revenue_30d,orders_lookback_30d,ml_orders,delivery_model_feature,lookback_before_prediction_time,order_paid_at < prediction_time,prediction_time - 12h,true,none,past purchase behavior only
days_since_signup,user_profile,ml_users,delivery_model_feature,known_before_prediction_time,created_at <= prediction_time,account_created_at,true,none,stable account attribute
had_support_ticket_14d,support_tickets_before_prediction,ml_support_tickets,delivery_model_feature,lookback_before_prediction_time,ticket_created_at < prediction_time,prediction_time - 50m,true,none,binary summary of past support history
plan_id,subscription_snapshot,ml_scoring_snapshots,delivery_model_feature,known_before_prediction_time,snapshot fields are materialized at prediction_time,prediction_time,true,none,trial plan at scoring moment
platform,user_profile,ml_users,delivery_model_feature,known_before_prediction_time,created_at <= prediction_time,account_created_at,true,none,stable account attribute
country,user_profile,ml_users,delivery_model_feature,known_before_prediction_time,created_at <= prediction_time,account_created_at,true,none,stable account attribute
acquisition_channel,user_profile,ml_users,delivery_model_feature,known_before_prediction_time,created_at <= prediction_time,account_created_at,true,none,stable acquisition attribute with missing bucket
churned_14d,churn_label,ml_labels,known_bad_candidate,label_after_prediction_time,label_observed_at after target horizon,prediction_time + 14d,false,target_leakage,target itself
days_until_label_observed,churn_label,ml_labels,known_bad_candidate,label_after_prediction_time,label_observed_at after target horizon,prediction_time + 14d,false,label_availability_leakage,derived from future label timestamp
cancelled_after_prediction,cancellation_events_after_prediction,ml_events,known_bad_candidate,post_prediction_time,event_time >= prediction_time,prediction_time + 9d,false,future_behavior_leakage,future behavior after scoring
retention_offer_accepted,retention_offer_outcomes,ml_offers,known_bad_candidate,intervention_after_prediction_time,offer is sent after scoring,prediction_time + 2d,false,post_intervention_outcome_leakage,post-score action outcome
segment_churn_rate_full_dataset,churn_label,ml_labels,known_bad_candidate,full_sample_label_aggregation,computed after observing all labels,test label horizon,false,full_sample_target_encoding,target encoding before split would see validation/test labels
