snapshot_id,target_name,label_observed_at,churned_14d,label_window_complete
S001,churn_14d,2026-05-24T12:00:00+03:00,true,true
S002,churn_14d,2026-05-24T12:00:00+03:00,false,true
S003,churn_14d,2026-05-24T12:00:00+03:00,false,true
S004,churn_14d,2026-05-24T12:00:00+03:00,true,true
S005,churn_14d,2026-05-31T12:00:00+03:00,false,true
S006,churn_14d,2026-05-31T12:00:00+03:00,true,true
S007,churn_14d,2026-05-31T12:00:00+03:00,false,true
S008,churn_14d,2026-05-31T12:00:00+03:00,false,true
S009,churn_14d,2026-06-07T12:00:00+03:00,false,true
S010,churn_14d,2026-06-07T12:00:00+03:00,true,true
S011,churn_14d,2026-06-07T12:00:00+03:00,false,true
S012,churn_14d,2026-06-07T12:00:00+03:00,false,true
S013,churn_14d,2026-06-07T12:00:00+03:00,false,true
