snapshot_id,user_id,prediction_time,trial_end_at,segment_id,plan_id,country,platform,eligible_for_offer,days_until_trial_end,split_group
S001,U001,2026-05-10T09:00:00+03:00,2026-05-17T09:00:00+03:00,android_ru,trial_basic,RU,android,true,7,cohort_2026w19
S002,U002,2026-05-10T09:00:00+03:00,2026-05-17T09:00:00+03:00,ios_ru,trial_basic,RU,ios,true,7,cohort_2026w19
S003,U003,2026-05-10T09:00:00+03:00,2026-05-17T09:00:00+03:00,web_kz,trial_pro,KZ,web,true,7,cohort_2026w19
S004,U004,2026-05-10T09:00:00+03:00,2026-05-17T09:00:00+03:00,android_ru,trial_basic,RU,android,true,7,cohort_2026w19
S005,U005,2026-05-17T09:00:00+03:00,2026-05-24T09:00:00+03:00,ios_ru,trial_basic,RU,ios,true,7,cohort_2026w20
S006,U006,2026-05-17T09:00:00+03:00,2026-05-24T09:00:00+03:00,web_ru,trial_pro,RU,web,true,7,cohort_2026w20
S007,U007,2026-05-17T09:00:00+03:00,2026-05-24T09:00:00+03:00,android_kz,trial_basic,KZ,android,true,7,cohort_2026w20
S008,U008,2026-05-17T09:00:00+03:00,2026-05-24T09:00:00+03:00,ios_ru,trial_basic,RU,ios,false,7,cohort_2026w20
S009,U009,2026-05-24T09:00:00+03:00,2026-05-31T09:00:00+03:00,android_ru,trial_basic,RU,android,true,7,cohort_2026w21
S010,U010,2026-05-24T09:00:00+03:00,2026-05-31T09:00:00+03:00,ios_ru,trial_basic,RU,ios,true,7,cohort_2026w21
S011,U011,2026-05-24T09:00:00+03:00,2026-05-31T09:00:00+03:00,web_kz,trial_pro,KZ,web,true,7,cohort_2026w21
S012,U012,2026-05-24T09:00:00+03:00,2026-05-31T09:00:00+03:00,android_kz,trial_basic,KZ,android,true,7,cohort_2026w21
S013,U013,2026-05-24T09:00:00+03:00,2026-05-31T09:00:00+03:00,web_ru,trial_pro,RU,web,true,7,cohort_2026w21
