snapshot_id,user_id,prediction_time,split,split_order,role,assigned_by_policy
S001,U001,2026-05-10T09:00:00+03:00,train,1,fit_preprocessing_and_estimator,chronological_group_holdout
S002,U002,2026-05-10T09:00:00+03:00,train,1,fit_preprocessing_and_estimator,chronological_group_holdout
S003,U003,2026-05-10T09:00:00+03:00,train,1,fit_preprocessing_and_estimator,chronological_group_holdout
S004,U004,2026-05-10T09:00:00+03:00,train,1,fit_preprocessing_and_estimator,chronological_group_holdout
S005,U005,2026-05-17T09:00:00+03:00,validation,2,model_selection_and_threshold_selection,chronological_group_holdout
S006,U006,2026-05-17T09:00:00+03:00,validation,2,model_selection_and_threshold_selection,chronological_group_holdout
S007,U007,2026-05-17T09:00:00+03:00,validation,2,model_selection_and_threshold_selection,chronological_group_holdout
S009,U009,2026-05-24T09:00:00+03:00,test,3,final_once_only_evaluation,chronological_group_holdout
S010,U010,2026-05-24T09:00:00+03:00,test,3,final_once_only_evaluation,chronological_group_holdout
S011,U011,2026-05-24T09:00:00+03:00,test,3,final_once_only_evaluation,chronological_group_holdout
S012,U012,2026-05-24T09:00:00+03:00,test,3,final_once_only_evaluation,chronological_group_holdout
S013,U013,2026-05-24T09:00:00+03:00,test,3,final_once_only_evaluation,chronological_group_holdout
