feature_name,category_value,semantic_type,train_count,validation_count,test_count,total_count,seen_in_train,unseen_in_train,missing_value,rare_in_train,distinct_values_for_feature,high_cardinality_feature,missing_policy,unknown_category_policy
plan_id,trial_basic,subscription_plan_at_prediction_time,3,2,3,8,True,False,False,False,2,False,missing_not_expected_block_if_seen,allow_native_catboost_unseen_value_and_monitor
plan_id,trial_pro,subscription_plan_at_prediction_time,1,1,2,4,True,False,False,True,2,False,missing_not_expected_block_if_seen,allow_native_catboost_unseen_value_and_monitor
platform,android,stable_user_profile_attribute,2,1,2,5,True,False,False,False,3,False,missing_not_expected_block_if_seen,allow_native_catboost_unseen_value_and_monitor
platform,ios,stable_user_profile_attribute,1,1,1,3,True,False,False,True,3,False,missing_not_expected_block_if_seen,allow_native_catboost_unseen_value_and_monitor
platform,web,stable_user_profile_attribute,1,1,2,4,True,False,False,True,3,False,missing_not_expected_block_if_seen,allow_native_catboost_unseen_value_and_monitor
country,KZ,stable_user_profile_attribute,1,1,2,4,True,False,False,True,2,False,missing_not_expected_block_if_seen,allow_native_catboost_unseen_value_and_monitor
country,RU,stable_user_profile_attribute,3,2,3,8,True,False,False,False,2,False,missing_not_expected_block_if_seen,allow_native_catboost_unseen_value_and_monitor
acquisition_channel,__MISSING__,stable_user_profile_attribute_with_structural_missing,0,1,0,1,False,True,True,False,6,True,map_missing_to_explicit_category,allow_native_catboost_unseen_value_and_monitor
acquisition_channel,influencer,stable_user_profile_attribute_with_structural_missing,0,1,0,1,False,True,False,False,6,True,map_missing_to_explicit_category,allow_native_catboost_unseen_value_and_monitor
acquisition_channel,organic,stable_user_profile_attribute_with_structural_missing,2,1,2,5,True,False,False,False,6,True,map_missing_to_explicit_category,allow_native_catboost_unseen_value_and_monitor
acquisition_channel,paid_search,stable_user_profile_attribute_with_structural_missing,1,0,1,2,True,False,False,True,6,True,map_missing_to_explicit_category,allow_native_catboost_unseen_value_and_monitor
acquisition_channel,partnership,stable_user_profile_attribute_with_structural_missing,0,0,1,1,False,True,False,False,6,True,map_missing_to_explicit_category,allow_native_catboost_unseen_value_and_monitor
acquisition_channel,referral,stable_user_profile_attribute_with_structural_missing,1,0,1,2,True,False,False,True,6,True,map_missing_to_explicit_category,allow_native_catboost_unseen_value_and_monitor
