feature_index,feature_name,feature_role,scoring_name,importance_unit,heldout_split,repeat_count,mean_importance,std_importance,two_std_lower,two_std_upper,positive_importance_with_two_std_margin,absolute_mean_importance,nonzero_repeat_count,positive_repeat_count,negative_repeat_count,direction,rank_by_mean,rank_by_absolute_mean,is_largest_absolute_mean_delta
0,sessions_14d,numeric,neg_log_loss,log_loss_increase_when_feature_is_permuted,validation,7,0.0,0.0,0.0,0.0,False,0.0,0,0,0,zero,1,2,False
1,active_days_14d,numeric,neg_log_loss,log_loss_increase_when_feature_is_permuted,validation,7,0.0,0.0,0.0,0.0,False,0.0,0,0,0,zero,2,3,False
2,support_tickets_14d,numeric,neg_log_loss,log_loss_increase_when_feature_is_permuted,validation,7,0.0,0.0,0.0,0.0,False,0.0,0,0,0,zero,3,4,False
3,revenue_30d,numeric,neg_log_loss,log_loss_increase_when_feature_is_permuted,validation,7,0.0,0.0,0.0,0.0,False,0.0,0,0,0,zero,4,5,False
4,days_since_signup,numeric,neg_log_loss,log_loss_increase_when_feature_is_permuted,validation,7,0.0,0.0,0.0,0.0,False,0.0,0,0,0,zero,5,6,False
5,had_support_ticket_14d,numeric,neg_log_loss,log_loss_increase_when_feature_is_permuted,validation,7,0.0,0.0,0.0,0.0,False,0.0,0,0,0,zero,6,7,False
6,plan_id,categorical,neg_log_loss,log_loss_increase_when_feature_is_permuted,validation,7,0.0,0.0,0.0,0.0,False,0.0,0,0,0,zero,7,8,False
7,platform,categorical,neg_log_loss,log_loss_increase_when_feature_is_permuted,validation,7,-0.011722,0.010151,-0.032024,0.008581,False,0.011722,4,0,4,loss_decrease_when_permuted,10,1,True
8,country,categorical,neg_log_loss,log_loss_increase_when_feature_is_permuted,validation,7,0.0,0.0,0.0,0.0,False,0.0,0,0,0,zero,8,9,False
9,acquisition_channel,categorical,neg_log_loss,log_loss_increase_when_feature_is_permuted,validation,7,0.0,0.0,0.0,0.0,False,0.0,0,0,0,zero,9,10,False
