feature_index,feature_name,feature_role,repeat_index,heldout_split,random_state,baseline_score,baseline_log_loss,importance_delta,permuted_score,permuted_log_loss,direction
0,sessions_14d,numeric,1,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
0,sessions_14d,numeric,2,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
0,sessions_14d,numeric,3,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
0,sessions_14d,numeric,4,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
0,sessions_14d,numeric,5,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
0,sessions_14d,numeric,6,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
0,sessions_14d,numeric,7,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
1,active_days_14d,numeric,1,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
1,active_days_14d,numeric,2,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
1,active_days_14d,numeric,3,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
1,active_days_14d,numeric,4,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
1,active_days_14d,numeric,5,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
1,active_days_14d,numeric,6,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
1,active_days_14d,numeric,7,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
2,support_tickets_14d,numeric,1,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
2,support_tickets_14d,numeric,2,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
2,support_tickets_14d,numeric,3,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
2,support_tickets_14d,numeric,4,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
2,support_tickets_14d,numeric,5,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
2,support_tickets_14d,numeric,6,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
2,support_tickets_14d,numeric,7,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
3,revenue_30d,numeric,1,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
3,revenue_30d,numeric,2,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
3,revenue_30d,numeric,3,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
3,revenue_30d,numeric,4,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
3,revenue_30d,numeric,5,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
3,revenue_30d,numeric,6,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
3,revenue_30d,numeric,7,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
4,days_since_signup,numeric,1,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
4,days_since_signup,numeric,2,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
4,days_since_signup,numeric,3,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
4,days_since_signup,numeric,4,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
4,days_since_signup,numeric,5,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
4,days_since_signup,numeric,6,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
4,days_since_signup,numeric,7,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
