feature_index,feature_name,feature_role,explain_split,output_space,mean_abs_shap,mean_shap_value,std_shap_value,positive_row_count,negative_row_count,nonzero_row_count,rank_by_mean_abs_shap,is_top_mean_abs_shap_feature,contribution_direction
0,sessions_14d,numeric,validation,raw_margin,0.0,0.0,0.0,0,0,0,2,False,zero
1,active_days_14d,numeric,validation,raw_margin,0.0,0.0,0.0,0,0,0,3,False,zero
2,support_tickets_14d,numeric,validation,raw_margin,0.0,0.0,0.0,0,0,0,4,False,zero
3,revenue_30d,numeric,validation,raw_margin,0.0,0.0,0.0,0,0,0,5,False,zero
4,days_since_signup,numeric,validation,raw_margin,0.0,0.0,0.0,0,0,0,6,False,zero
5,had_support_ticket_14d,numeric,validation,raw_margin,0.0,0.0,0.0,0,0,0,7,False,zero
6,plan_id,categorical,validation,raw_margin,0.0,0.0,0.0,0,0,0,8,False,zero
7,platform,categorical,validation,raw_margin,0.030769,-0.010256,0.02901,1,2,3,1,True,mixed
8,country,categorical,validation,raw_margin,0.0,0.0,0.0,0,0,0,9,False,zero
9,acquisition_channel,categorical,validation,raw_margin,0.0,0.0,0.0,0,0,0,10,False,zero
