dimension,slice_value,baseline_row_count,candidate_row_count,row_count_delta,baseline_positive_count,candidate_positive_count,baseline_action_count,candidate_action_count,action_count_delta,baseline_precision,candidate_precision,precision_delta,baseline_recall,candidate_recall,recall_delta,baseline_error_rate,candidate_error_rate,error_rate_delta,baseline_selected_ids,candidate_selected_ids,baseline_false_positive_ids,candidate_false_positive_ids,baseline_false_negative_ids,candidate_false_negative_ids,small_n_warning,candidate_worse_than_baseline,hidden_failure_candidate,hidden_failure_reasons,interpretation
overall,all,3,3,0,1,1,2,2,0,0.5,0.0,-0.5,1.0,0.0,-1.0,0.333333,1.0,0.666667,"S007,S006","S007,S005",S007,"S007,S005",,S006,False,True,False,"error_rate_worse,precision_worse,recall_worse,new_false_positive_ids:S005,new_false_negative_ids:S006",overall_delta
segment_id,android_kz,1,1,0,0,0,1,1,0,0.0,0.0,0.0,,,,1.0,1.0,0.0,S007,S007,S007,S007,,,True,False,False,,diagnostic_delta
segment_id,ios_ru,1,1,0,0,0,0,1,1,,0.0,,,,,0.0,1.0,1.0,,S005,,S005,,,True,True,True,"error_rate_worse,new_false_positive_ids:S005",hidden_failure_candidate
segment_id,web_ru,1,1,0,1,1,1,0,-1,1.0,,,1.0,0.0,-1.0,0.0,1.0,1.0,S006,,,,,S006,True,True,True,"error_rate_worse,recall_worse,new_false_negative_ids:S006",hidden_failure_candidate
platform,android,1,1,0,0,0,1,1,0,0.0,0.0,0.0,,,,1.0,1.0,0.0,S007,S007,S007,S007,,,True,False,False,,diagnostic_delta
platform,ios,1,1,0,0,0,0,1,1,,0.0,,,,,0.0,1.0,1.0,,S005,,S005,,,True,True,True,"error_rate_worse,new_false_positive_ids:S005",hidden_failure_candidate
platform,web,1,1,0,1,1,1,0,-1,1.0,,,1.0,0.0,-1.0,0.0,1.0,1.0,S006,,,,,S006,True,True,True,"error_rate_worse,recall_worse,new_false_negative_ids:S006",hidden_failure_candidate
country,KZ,1,1,0,0,0,1,1,0,0.0,0.0,0.0,,,,1.0,1.0,0.0,S007,S007,S007,S007,,,True,False,False,,diagnostic_delta
country,RU,2,2,0,1,1,1,1,0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,1.0,1.0,S006,S005,,S005,,S006,True,True,True,"error_rate_worse,precision_worse,recall_worse,new_false_positive_ids:S005,new_false_negative_ids:S006",hidden_failure_candidate
plan_id,trial_basic,2,2,0,0,0,1,2,1,0.0,0.0,0.0,,,,0.5,1.0,0.5,S007,"S007,S005",S007,"S007,S005",,,True,True,True,"error_rate_worse,new_false_positive_ids:S005",hidden_failure_candidate
plan_id,trial_pro,1,1,0,1,1,1,0,-1,1.0,,,1.0,0.0,-1.0,0.0,1.0,1.0,S006,,,,,S006,True,True,True,"error_rate_worse,recall_worse,new_false_negative_ids:S006",hidden_failure_candidate
acquisition_channel,__MISSING__,1,1,0,0,0,1,1,0,0.0,0.0,0.0,,,,1.0,1.0,0.0,S007,S007,S007,S007,,,True,False,False,,diagnostic_delta
acquisition_channel,influencer,1,1,0,1,1,1,0,-1,1.0,,,1.0,0.0,-1.0,0.0,1.0,1.0,S006,,,,,S006,True,True,True,"error_rate_worse,recall_worse,new_false_negative_ids:S006",hidden_failure_candidate
acquisition_channel,organic,1,1,0,0,0,0,1,1,,0.0,,,,,0.0,1.0,1.0,,S005,,S005,,,True,True,True,"error_rate_worse,new_false_positive_ids:S005",hidden_failure_candidate
business_cohort,trial_basic:KZ,1,1,0,0,0,1,1,0,0.0,0.0,0.0,,,,1.0,1.0,0.0,S007,S007,S007,S007,,,True,False,False,,diagnostic_delta
business_cohort,trial_basic:RU,1,1,0,0,0,0,1,1,,0.0,,,,,0.0,1.0,1.0,,S005,,S005,,,True,True,True,"error_rate_worse,new_false_positive_ids:S005",hidden_failure_candidate
business_cohort,trial_pro:RU,1,1,0,1,1,1,0,-1,1.0,,,1.0,0.0,-1.0,0.0,1.0,1.0,S006,,,,,S006,True,True,True,"error_rate_worse,recall_worse,new_false_negative_ids:S006",hidden_failure_candidate
score_band,high,2,1,-1,1,0,2,1,-1,0.5,0.0,-0.5,1.0,,,0.5,1.0,0.5,"S007,S006",S007,S007,S007,,,True,True,True,"error_rate_worse,precision_worse",hidden_failure_candidate
score_band,medium,1,2,1,0,1,0,1,1,,0.0,,,0.0,,0.0,1.0,1.0,,S005,,S005,,S006,True,True,True,"error_rate_worse,new_false_positive_ids:S005,new_false_negative_ids:S006",hidden_failure_candidate
