id,severity,valid,observed,expected,sample
input_files_are_present,error,True,"[""calibrated_predictions"", ""calibration_report"", ""policy"", ""problem_spec"", ""segment_report"", ""segment_spec""]",all required input files,[]
cost_sensitive_policy_has_required_fields,error,True,"[""analysis_split"", ""baseline_model_id"", ""baseline_package_id"", ""budget_policy"", ""calibration_policy_id"", ""candidate_model_id"", ""cost_policy"", ""cost_sensitive_decision_audit_id"", ""decision_policy"", ""final_holdout_split"", ""interpretation_policy"", ""output"", ""problem_id"", ""score_sources"", ""segment_analysis_audit_id"", ""threshold_policy"", ""warning_policy""]",required policy fields,[]
cost_policy_matches_upstream_handoff,error,True,"{""analysis_split"": ""validation"", ""baseline_model_id"": ""random_forest_depth2_class_weight_balanced"", ""candidate_model_id"": ""catboost_depth2_native_categories_es_logloss"", ""problem_id"": ""trial-churn-risk-7d-before-end""}",policy matches upstream handoffs,[]
business_cost_and_budget_match_problem_spec,error,True,"{""false_negative_cost"": 5.0, ""false_positive_cost"": 1.0, ""max_actions"": 2}",problem spec cost weights and budget,[]
threshold_selection_uses_validation_only,error,True,"{""candidate_threshold_count"": 5, ""final_holdout_split"": ""test"", ""selection_data"": ""validation""}","validation split only, test excluded",[]
output_contract_names_all_artifacts,error,True,"[""audit_file"", ""budget_impact_file"", ""decision_gate_file"", ""decision_row_file"", ""report_file"", ""serialized_spec_file"", ""threshold_comparison_file""]",all output filenames are declared,[]
decision_rows_cover_same_validation_population,error,True,"{""baseline"": [""S005"", ""S006"", ""S007""], ""catboost"": [""S005"", ""S006"", ""S007""]}",same snapshot ids for both models,[]
threshold_comparison_complete,error,True,"{""row_count"": 10, ""selected_threshold_count"": 2}","{""row_count"": 10, ""selected_threshold_count"": 2}",[]
budget_impact_complete,error,True,"{""row_count"": 6}",three decision rules per model,[]
candidate_not_promoted_due_to_decision_gate,warning,False,"[""candidate_threshold_cost_lte_baseline_best"", ""candidate_top_k_cost_lte_baseline_top_k"", ""candidate_has_approved_calibration"", ""segment_hidden_failures_absent""]",all promotion gates pass,[]
candidate_score_is_not_calibrated,warning,False,not_approved_for_candidate,approved candidate calibration,[]
catboost_threshold_cost_worse_than_baseline,warning,False,"{""baseline_total_error_cost"": 0.0, ""candidate_total_error_cost"": 5.0}",candidate cost <= baseline cost,[]
catboost_top_k_budget_cost_worse_than_baseline,warning,False,"{""baseline_top_k_total_error_cost"": 1.0, ""candidate_top_k_total_error_cost"": 7.0}",candidate top-k cost <= baseline top-k cost,[]
segment_warnings_propagated_to_decision_gate,warning,False,"[""strong_model_small_n_slices_visible"", ""strong_model_hidden_failure_slices_visible"", ""candidate_worse_than_baseline_on_validation"", ""score_band_membership_differs_between_models"", ""candidate_not_promoted_without_segment_gain""]",segment warnings must be visible in the decision gate,[]
no_causal_offer_effect_boundary_visible,warning,False,"This artifact compares risk-ranking decisions under a fixed threshold, a learned validation threshold and a top-k budget. It does not estimate the causal effect of a retention offer.",the report must not claim causal offer effect,[]
