dimension,slice_value,baseline_row_count,candidate_row_count,precision_delta,recall_delta,error_rate_delta,candidate_worse_than_baseline,hidden_failure_candidate,small_n_warning,hidden_failure_reasons,stability_status
overall,all,3,3,-0.5,-1.0,0.666667,True,False,False,"error_rate_worse,precision_worse,recall_worse,new_false_positive_ids:S005,new_false_negative_ids:S006",watch
segment_id,android_kz,1,1,0.0,,0.0,False,False,True,,diagnostic_small_n
segment_id,ios_ru,1,1,,,1.0,True,True,True,"error_rate_worse,new_false_positive_ids:S005",blocked_for_promotion
segment_id,web_ru,1,1,,-1.0,1.0,True,True,True,"error_rate_worse,recall_worse,new_false_negative_ids:S006",blocked_for_promotion
platform,android,1,1,0.0,,0.0,False,False,True,,diagnostic_small_n
platform,ios,1,1,,,1.0,True,True,True,"error_rate_worse,new_false_positive_ids:S005",blocked_for_promotion
platform,web,1,1,,-1.0,1.0,True,True,True,"error_rate_worse,recall_worse,new_false_negative_ids:S006",blocked_for_promotion
country,KZ,1,1,0.0,,0.0,False,False,True,,diagnostic_small_n
country,RU,2,2,-1.0,-1.0,1.0,True,True,True,"error_rate_worse,precision_worse,recall_worse,new_false_positive_ids:S005,new_false_negative_ids:S006",blocked_for_promotion
plan_id,trial_basic,2,2,0.0,,0.5,True,True,True,"error_rate_worse,new_false_positive_ids:S005",blocked_for_promotion
plan_id,trial_pro,1,1,,-1.0,1.0,True,True,True,"error_rate_worse,recall_worse,new_false_negative_ids:S006",blocked_for_promotion
acquisition_channel,__MISSING__,1,1,0.0,,0.0,False,False,True,,diagnostic_small_n
acquisition_channel,influencer,1,1,,-1.0,1.0,True,True,True,"error_rate_worse,recall_worse,new_false_negative_ids:S006",blocked_for_promotion
acquisition_channel,organic,1,1,,,1.0,True,True,True,"error_rate_worse,new_false_positive_ids:S005",blocked_for_promotion
business_cohort,trial_basic:KZ,1,1,0.0,,0.0,False,False,True,,diagnostic_small_n
business_cohort,trial_basic:RU,1,1,,,1.0,True,True,True,"error_rate_worse,new_false_positive_ids:S005",blocked_for_promotion
business_cohort,trial_pro:RU,1,1,,-1.0,1.0,True,True,True,"error_rate_worse,recall_worse,new_false_negative_ids:S006",blocked_for_promotion
score_band,high,2,1,-0.5,,0.5,True,True,True,"error_rate_worse,precision_worse",blocked_for_promotion
score_band,medium,1,2,,,1.0,True,True,True,"error_rate_worse,new_false_positive_ids:S005,new_false_negative_ids:S006",blocked_for_promotion
