check_id,grain,field,implementation_value,shadow_value,difference,tolerance,passed,source_path,method
segment:high_touch:churn_component,high_touch,churn_component,1.000000,1.000000,0.0,1e-06,true,baseline_metrics.csv,independent_min_max_weighted_score
segment:high_touch:activation_gap_component,high_touch,activation_gap_component,1.000000,1.000000,0.0,1e-06,true,baseline_metrics.csv,independent_min_max_weighted_score
segment:high_touch:support_load_component,high_touch,support_load_component,1.000000,1.000000,0.0,1e-06,true,baseline_metrics.csv,independent_min_max_weighted_score
segment:high_touch:candidate_score,high_touch,candidate_score,1.000000,1.000000,0.0,1e-06,true,baseline_metrics.csv,independent_min_max_weighted_score
segment:high_touch:candidate_rank,high_touch,candidate_rank,1,1,0.0,1e-06,true,baseline_metrics.csv,independent_min_max_weighted_score
segment:high_touch:candidate_selected,high_touch,candidate_selected,true,true,0.0,1e-06,true,baseline_metrics.csv,independent_min_max_weighted_score
segment:self_serve:churn_component,self_serve,churn_component,0.000000,0.000000,0.0,1e-06,true,baseline_metrics.csv,independent_min_max_weighted_score
segment:self_serve:activation_gap_component,self_serve,activation_gap_component,0.000000,0.000000,0.0,1e-06,true,baseline_metrics.csv,independent_min_max_weighted_score
segment:self_serve:support_load_component,self_serve,support_load_component,0.000000,0.000000,0.0,1e-06,true,baseline_metrics.csv,independent_min_max_weighted_score
segment:self_serve:candidate_score,self_serve,candidate_score,0.000000,0.000000,0.0,1e-06,true,baseline_metrics.csv,independent_min_max_weighted_score
segment:self_serve:candidate_rank,self_serve,candidate_rank,2,2,0.0,1e-06,true,baseline_metrics.csv,independent_min_max_weighted_score
segment:self_serve:candidate_selected,self_serve,candidate_selected,false,false,0.0,1e-06,true,baseline_metrics.csv,independent_min_max_weighted_score
decision:selected_segments,decision,selected_segments,high_touch,high_touch,,1e-06,true,acceptance_gate.json|baseline_metrics.csv,independent_denominator_and_gate_reconciliation
decision:candidate_value,decision,candidate_value,0.666667,0.666667,0.0,1e-06,true,acceptance_gate.json|baseline_metrics.csv,independent_denominator_and_gate_reconciliation
decision:reviewed_users,decision,reviewed_users,4,4,0.0,1e-06,true,acceptance_gate.json|baseline_metrics.csv,independent_denominator_and_gate_reconciliation
decision:captured_churned_users,decision,captured_churned_users,2,2,0.0,1e-06,true,acceptance_gate.json|baseline_metrics.csv,independent_denominator_and_gate_reconciliation
decision:total_churned_users,decision,total_churned_users,3,3,0.0,1e-06,true,acceptance_gate.json|baseline_metrics.csv,independent_denominator_and_gate_reconciliation
decision:candidate_pass,decision,candidate_pass,false,false,0.0,1e-06,true,acceptance_gate.json|baseline_metrics.csv,independent_denominator_and_gate_reconciliation
decision:selected_method,decision,selected_method,baseline,baseline,,1e-06,true,acceptance_gate.json|baseline_metrics.csv,independent_denominator_and_gate_reconciliation
decision:decision_status,decision,decision_status,candidate_rejected_keep_baseline,candidate_rejected_keep_baseline,,1e-06,true,acceptance_gate.json|baseline_metrics.csv,independent_denominator_and_gate_reconciliation
decision:candidate_threshold,decision,candidate_threshold,0.766667,0.766667,0.0,1e-06,true,acceptance_gate.json|baseline_metrics.csv,independent_denominator_and_gate_reconciliation
decision:max_capacity,decision,max_capacity,4,4,0.0,1e-06,true,acceptance_gate.json|baseline_metrics.csv,independent_denominator_and_gate_reconciliation
